source,venue_name,address,city,latitude,longitude,venue_type,target_classification,phone,website,opening_hours,nil_quartiere,all_names,osm_amenity
agent7_pietro,Bistrot Italia,"Corso ITALIA 35, 20122, Milano",Milano,45.455294,9.187348,bistro,AMBIGUOUS_TO_REVIEW,,,Mo-Su 12:00-00:00,PORTA VIGENTINA - PORTA LODOVICA,Bistrot Italia,
agent7_pietro,Bistrot milano,"Via Dante 21, Milano",Milano,45.466879,9.183679,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistrot milano,
agent7_pietro,Bistrot Milano Centrale,,Milano,45.485754,9.204677,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistrot Milano Centrale,
agent7_pietro,Bistrot Pedol,"Via Giovanni Battista Sammartini, 2, 20125, Milano",Milano,45.486568,9.203353,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistrot Pedol,
agent7_pietro,Bistrot PolEATecnico,,Milano,45.505484,9.165283,bistro,TARGET,,,Mo-Fr 08:00-19:30,,Bistrot PolEATecnico,
agent7_pietro,Bistrot Ventura,"Via Privata Giovanni Ventura, 12, 20134, Milano",Milano,45.48364,9.244487,bistro,TARGET,,,Mo-Su 12:00-00:00,,Bistrot Ventura,
agent7_pietro,Borgo 109 - Bistrot con giardino,"Via della Chiesa Rossa, 109, 20141, Milano",Milano,45.426437,9.170201,bistro,TARGET,,,Mo-Su 12:00-00:00,,Borgo 109 - Bistrot con giardino,
agent7_pietro,Caffè Amore Bistrot,"Via Valtellina, 40, 20159, Milano",Milano,45.493632,9.182775,bistro,TARGET,,,Mo-Su 12:00-00:00,ISOLA,Caffè Amore Bistrot,
agent7_pietro,Caffè/Bistrot Andrea Aprea,"Corso Venezia, 52, 20122, Milano",Milano,45.473316,9.204328,bistro,TARGET,,,Mo-Su 12:00-00:00,,Caffè/Bistrot Andrea Aprea,
agent7_pietro,Caffé Bistrot Mordi,,Milano,45.493226,9.191032,bistro,TARGET,,,Mo-Su 12:00-00:00,,Caffé Bistrot Mordi,
agent7_pietro,Café Bistrot 25,"Viale FAMAGOSTA 25, 20142, Milano",Milano,45.437495,9.158253,bistro,TARGET,,,Mo-Su 12:00-00:00,MONCUCCO - SAN CRISTOFORO,Café Bistrot 25,
agent7_pietro,Carmelina Caffè & Bistrot,"Via Cadore, 6, 20135, Milano",Milano,45.461451,9.214358,bistro,TARGET,,,Mo-Su 12:00-00:00,,Carmelina Caffè & Bistrot,
agent7_pietro,Cedric Milano Bistrot,"Viale Piave, 5, 20129, Milano",Milano,45.469197,9.206634,bistro,TARGET,,,Mo-Su 12:00-00:00,,Cedric Milano Bistrot,
agent7_pietro,Ciapa Su Bistrot,"Via Fabio Filzi, 2, 20124, Milano",Milano,45.481806,9.198798,bistro,TARGET,,,Mo-Su 12:00-00:00,,Ciapa Su Bistrot,
agent7_pietro,Clotilde Bistrot,"Via Galileo Galilei, 2, I-20124, Milano",Milano,45.479637,9.195128,bistro,TARGET,,,Mo-Su 12:00-00:00,,Clotilde Bistrot,
agent7_pietro,Cookingarage Bistrot,"Viale ZARA 145, 20159, Milano",Milano,45.500816,9.196966,bistro,TARGET,+39 320 704 6927,https://cookingarage.com/,Mo-Su 12:00-00:00,MACIACHINI - MAGGIOLINA,Cookingarage Bistrot,
agent7_pietro,D'ire Bistrot,"Via CIMAROSA DOMENICO 3A, 20144, Milano",Milano,45.46581,9.159254,bistro,TARGET,+39 02 84572986,,Mo-Su 12:00-00:00,PORTA MAGENTA,D'ire Bistrot,
agent7_pietro,DaTe Bistrot,"Viale Monte Grappa 7N02, 20124, Milano",Milano,45.480653,9.188812,bistro,TARGET,+39 02 96114023,https://datebistrot.com/,Mo-Su 12:00-00:00,,DaTe Bistrot | DA TE BISTROT,
agent7_pietro,Dilli Bistrot Indian Fusion Cuisine,"Via Alessandro Tadino, 1, 20124, Milano",Milano,45.47559,9.204413,bistro,TARGET,,,Mo-Su 12:00-00:00,,Dilli Bistrot Indian Fusion Cuisine,
agent7_pietro,Domenica Bistrot,"Via Ascanio Sforza, 7, 20136, Milano",Milano,45.450396,9.177861,bistro,TARGET,,,Mo-Su 12:00-00:00,,Domenica Bistrot,
agent7_pietro,Drinkiamo Bistrot,"Via Imperia, 13, 20142, Milano",Milano,45.441772,9.17364,bistro,TARGET,,,Mo-Su 12:00-00:00,,Drinkiamo Bistrot,
agent7_pietro,Ecooking Bistrot Corso Italia,"Corso Italia, 40, 20122, Milano",Milano,45.456213,9.187274,bistro,TARGET,,,Mo-Su 12:00-00:00,,Ecooking Bistrot Corso Italia,
agent7_pietro,Eden Bistrot Milano,"Via Giorgio Washington, 51, 20144, Milano",Milano,45.461332,9.155238,bistro,TARGET,,,Mo-Su 12:00-00:00,,Eden Bistrot Milano,
agent7_pietro,Estilolivre Bistrot Italo Brasiliano,"Via Lecco, 22, 20124, Milano",Milano,45.478658,9.206018,bistro,TARGET,,,Mo-Su 12:00-00:00,,Estilolivre Bistrot Italo Brasiliano,
agent7_pietro,Felicetta Café & Bistrot,"Via Vincenzo Monti, 56, 20123, Milano",Milano,45.47217,9.16794,bistro,TARGET,,https://felicetta.it/,Mo-Su 12:00-00:00,MAGENTA - S. VITTORE,Felicetta Café & Bistrot | Felicetta Cafè & Bistrot,
agent7_pietro,Galleria Meravigli Bistrot,"Via Meravigli 3, 20123, Milano",Milano,45.465824,9.184332,bistro,TARGET,+39 02 39831231,https://www.galleriameravigli.com/,Mo-Su 12:00-00:00,,Galleria Meravigli Bistrot,
agent7_pietro,Gatto Rosso Bistrot,"Piazza Filippo Meda, 5, 20121, Milano",Milano,45.467238,9.193257,bistro,TARGET,,,Mo-Su 12:00-00:00,,Gatto Rosso Bistrot,
agent7_pietro,Giacomo Bistrot,"Via Pasquale Sottocorno, 6, 20129, Milano",Milano,45.46541,9.20837,bistro,TARGET,,,Mo-Su 12:00-00:00,,Giacomo Bistrot,
agent7_pietro,Ioi Bistrot Milano,"V. Piero della Francesca, 34, 20154, Milano",Milano,45.48379,9.164347,bistro,TARGET,,,Mo-Su 12:00-00:00,,Ioi Bistrot Milano,
agent7_pietro,Joy Bistrot & Cafe,"Viale BLIGNY 26, 20136, Milano",Milano,45.450807,9.190718,bistro,TARGET,,,Mo-Su 12:00-00:00,PORTA VIGENTINA - PORTA LODOVICA,Joy Bistrot & Cafe,
agent7_pietro,La Cuccuma Bistrot,"Via Privata degli Orombelli, 18, 20131, Milano",Milano,45.483217,9.235959,bistro,TARGET,,,Mo-Su 12:00-00:00,,La Cuccuma Bistrot,
agent7_pietro,La Jungle De Plein - Bistrot & Garden,"Via Daniele Manin, 17, 20121, Milano",Milano,45.474478,9.196215,bistro,TARGET,,,Mo-Su 12:00-00:00,,La Jungle De Plein - Bistrot & Garden,
agent7_pietro,Le Papè - Bistrot 2.0,"Via Altaguardia, 17, 20135, Milano",Milano,45.449032,9.200123,bistro,TARGET,,,Mo-Su 12:00-00:00,,Le Papè - Bistrot 2.0,
agent7_pietro,Leonardo Bistrot,"Corso MAGENTA 78, 20123, Milano",Milano,45.465747,9.169153,bistro,TARGET,,,Mo-Su 12:00-00:00,MAGENTA - S. VITTORE,Leonardo Bistrot,
agent7_pietro,Leucosia Bistrot,"Via Podgora, 14, 20122, Milano",Milano,45.461587,9.203717,bistro,TARGET,,,Mo-Su 12:00-00:00,,Leucosia Bistrot,
agent7_pietro,Magnete bistrot,"Via ADRIANO PUBLIO ELIO 107, 20128, Milano",Milano,45.517774,9.243118,bistro,TARGET,,,Mo-Fr 07:45-21:00; Sa 07:45-15:30; Su off,ADRIANO,Magnete bistrot,
agent7_pietro,Middle Bistrot,"Via Falcone, 3, 20123, Milano",Milano,45.46256,9.188035,bistro,TARGET,,,Mo-Su 12:00-00:00,,Middle Bistrot,
agent7_pietro,Monzù Bistrot,"Via Adige, 14, 20135, Milano",Milano,45.447855,9.204538,bistro,TARGET,,,Mo-Su 12:00-00:00,,Monzù Bistrot,
agent7_pietro,Ora Zero Bistrot,"Corso GOTTARDO (SAN) 51, 20136, Milano",Milano,45.446692,9.179611,bistro,TARGET,,,Mo-Su 12:00-00:00,PORTA TICINESE - CONCA DEL NAVIGLIO,Ora Zero Bistrot,
agent7_pietro,Pasta fresca bistrot,"Via Melzo, 2, I-20129, Milano",Milano,45.472434,9.21018,bistro,TARGET,,,Mo-Su 12:00-00:00,,Pasta fresca bistrot,
agent7_pietro,Patti bakery & bistrot,"Piazzale CADORNA LUIGI 10, 20123, Milano",Milano,45.468634,9.176275,bistro,AMBIGUOUS_TO_REVIEW,+39028900266,https://pattibakery.com/store-milano-cadorna/,"Mo-Fr 07:00-20:00; Sa-Su,PH 09:00-19:00",MAGENTA - S. VITTORE,Patti bakery & bistrot,
agent7_pietro,Perricone Bistrot,"Via Filippo Sassetti, 15, 20124, Milano",Milano,45.486563,9.19373,bistro,TARGET,,,Mo-Su 12:00-00:00,,Perricone Bistrot,
agent7_pietro,Petit Bistrot,"Via GIOVANNI SUL MURO (SAN) 4, 20121, Milano",Milano,45.466658,9.181082,bistro,AMBIGUOUS_TO_REVIEW,,,Mo-Su 12:00-00:00,DUOMO,Petit Bistrot,
agent7_pietro,Piccolo Bistrot,"Via GROSSICH ANTONIO 29, 20131, Milano",Milano,45.483002,9.23413,bistro,TARGET,,,Mo-Fr 07:00-20:00; Sa 07:00-13:00,CITTA' STUDI,Piccolo Bistrot,
agent7_pietro,Ricchia - Orecchiette Bistrot,"Via S. Marco, 26, 20121, Milano",Milano,45.476351,9.188835,bistro,TARGET,,,Mo-Su 12:00-00:00,,Ricchia - Orecchiette Bistrot,
agent7_pietro,Santa Sofia Bistrot,"Via Santa Sofia, 1, 20122, Milano",Milano,45.457284,9.193062,bistro,TARGET,,,Mo-Su 12:00-00:00,,Santa Sofia Bistrot,
agent7_pietro,Shannara bistrot,"Viale Isonzo, 24, 20135, Milano",Milano,45.447002,9.204989,bistro,TARGET,,,Mo-Su 12:00-00:00,,Shannara bistrot,
agent7_pietro,Siloe Bistrot,"Via Antonio Cesari, 19, 20162, Milano",Milano,45.519505,9.18758,bistro,TARGET,,,Mo-Su 12:00-00:00,,Siloe Bistrot,
agent7_pietro,Silver Bistrot,"Via Riccardo Lombardi, 9-11, 20153, Milano",Milano,45.459022,9.067957,bistro,TARGET,,,Mo-Su 12:00-00:00,,Silver Bistrot,
agent7_pietro,The King Bistrot,"Via Trento Trieste, 43, 20026, Milano",Milano,45.52289,9.146365,bistro,TARGET,,,Mo-Su 12:00-00:00,,The King Bistrot,
agent7_pietro,The Longevity kitchen bistrot,"Via Francesco Melzi d'Eril, 34, 20154, Milano",Milano,45.478741,9.171329,bistro,TARGET,,,Mo-Su 12:00-00:00,,The Longevity kitchen bistrot,
agent7_pietro,TOG Bistrot,"Via Livigno, 1, 20158, Milano",Milano,45.49738,9.178336,bistro,TARGET,,,Mo-Su 12:00-00:00,,TOG Bistrot,
agent7_pietro,Tre Gazzelle Bistrot,"Via S. Pietro All'Orto, 7, 20121, Milano",Milano,45.466112,9.195258,bistro,TARGET,,,Mo-Su 12:00-00:00,,Tre Gazzelle Bistrot,
agent7_pietro,Van Bol Bistrot,"Foro Buonaparte, 71, 20121, Milano",Milano,45.46837,9.181214,bistro,TARGET,,,Mo-Su 12:00-00:00,,Van Bol Bistrot,
agent7_pietro,Vess bistrot,"Via Cesare Cesariano, 6, 20154, Milano",Milano,45.478608,9.17673,bistro,TARGET,,,Mo-Su 12:00-00:00,,Vess bistrot,
agent7_pietro,Why not? bistrot,"Via ADRIANO PUBLIO ELIO 94, 20128, Milano",Milano,45.515905,9.245011,bistro,AMBIGUOUS_TO_REVIEW,,,"Mo-Th 07:30-12:00, 16:00-23:00; Fr 07:30-12:00, 16:00-01:00; Sa 07:30-13:00, 16:00-23:00; Su off",ADRIANO,Why not? bistrot,
agent7_pietro,'Na Tazuella 'E Cafe',"Via SARDEGNA 35, 20146, Milano",Milano,45.462828,9.152075,cafe,TARGET,,,Mo-Su 07:00-20:00,PORTA MAGENTA,'Na Tazuella 'E Cafe',
agent7_pietro,+39zerodue,"Via Michelangelo Buonarroti 3, 20149, Milano",Milano,45.467335,9.154966,cafe,TARGET,,,Mo-Su 07:00-20:00,,+39zerodue,
agent7_pietro,10 Corso Como Cafe,"Corso Como, 10, 20154, Milano",Milano,45.481942,9.187517,cafe,TARGET,,,Mo-Su 07:00-20:00,,10 Corso Como Cafe,
agent7_pietro,101 Caffè Fast Gourmet,"Alzaia NAVIGLIO GRANDE 44, 20144, Milano",Milano,45.451329,9.171974,cafe,TARGET,,https://fastgourmet.101caffe.it/,Mo-Su 07:00-20:00,PORTA TICINESE - CONCHETTA,101 Caffè Fast Gourmet,
agent7_pietro,12oz,"Via IMPASTATO GIUSEPPE, 20138, Milano",Milano,45.428616,9.254763,cafe,TARGET,,https://www.12ozcj.com/,Mo-Su 07:00-20:00,TRIULZO SUPERIORE,12oz,
agent7_pietro,12Oz,,Milano,45.474801,9.205813,cafe,TARGET,,,Mo-Th 07:30-20:00; Fr-Su 07:30-21:00,,12Oz,
agent7_pietro,12oz,"Piazzale Luigi Cadorna 16, 20123, Milano",Milano,45.468296,9.175682,cafe,TARGET,,https://www.12ozcj.com/store-locator/,Mo-Su 06:00-20:00,,12oz,
agent7_pietro,12oz,,Milano,45.489817,9.127059,cafe,TARGET,,,Mo-Su 00:00-24:00,,12oz,
agent7_pietro,12oz,,Milano,45.436968,9.168153,cafe,TARGET,,https://www.12ozcj.com/,Mo-Su 07:00-20:00,,12oz,
agent7_pietro,12oz Cofee Joint,"Via Dogana 2, 20123, Milano",Milano,45.463603,9.189122,cafe,TARGET,+39 02 49635212,https://www.12ozcj.com/,"Mo-Th 07:30-22:30; Fr-Su,PH 07:30-23:00",,12oz Cofee Joint,
agent7_pietro,12oz coffee joint,"Via Alessandro Astesani, 20161, Milano",Milano,45.521658,9.167758,cafe,TARGET,,https://www.12ozcj.com/store-locator/#store-locator,Mo-Sa 07:00-19:00; Su off,,12oz coffee joint,
agent7_pietro,1925,"Viale REGINA MARGHERITA 1, 20122, Milano",Milano,45.45758,9.204373,cafe,TARGET,,,Mo-Su 07:00-20:00,GUASTALLA,1925,
agent7_pietro,20 - Twenty,VIA VITO (SAN) 26,Milano,45.459824,9.182106,cafe,AMBIGUOUS_TO_REVIEW,,,Mo-Su 07:00-20:00,,20 - Twenty,
agent7_pietro,3D Bar,"Via ASTESANI ALESSANDRO 43, 20161, Milano",Milano,45.520003,9.16901,cafe,TARGET,,,Mo-Su 07:00-20:00,AFFORI,3D Bar,
agent7_pietro,4 Stagioni,"Via BALDINUCCI FILIPPO 6, 20158, Milano",Milano,45.505943,9.17758,cafe,AMBIGUOUS_TO_REVIEW,,,Mo-Su 07:00-20:00,DERGANO,4 Stagioni,
agent7_pietro,404,"Viale Monza 144, 20127, Milano",Milano,45.504605,9.222488,cafe,TARGET,,,Mo-Su 07:00-12:00,,404,
agent7_pietro,40Sette,"Corso LODI 47, 20139, Milano",Milano,45.446686,9.211629,cafe,TARGET,,,Mo-Su 07:00-20:00,UMBRIA - MOLISE - CALVAIRATE,40Sette,
agent7_pietro,588,"Via MEDA GIUSEPPE 58, 20141, Milano",Milano,45.438374,9.178238,cafe,TARGET,,,Mo-Su 07:00-20:00,TIBALDI,588,
agent7_pietro,668 cafè,,Milano,45.498445,9.229903,cafe,TARGET,,,Mo-Su 07:00-20:00,,668 cafè,
agent7_pietro,7000 caffè,"Via Vallazze 99, 20131, Milano",Milano,45.485051,9.230473,cafe,TARGET,,,Mo-Su 07:00-20:00,,7000 caffè,
agent7_pietro,99 Bar,"Via SARPI PAOLO 11, 20154, Milano",Milano,45.481596,9.179335,cafe,TARGET,,,Mo-Su 07:00-20:00,SARPI,99 Bar,
agent7_pietro,[lù-po],"Via ARESE FRANCESCO 20, 20159, Milano",Milano,45.491427,9.188552,cafe,TARGET,,,Mo-Su 07:00-20:00,ISOLA,[lù-po],
agent7_pietro,A cup tea,,Milano,45.443146,9.218248,cafe,TARGET,,,Mo-Su 07:00-20:00,,A cup tea,
agent7_pietro,Abbadesse,,Milano,45.490341,9.196454,cafe,TARGET,,,Mo-Su 07:00-20:00,,Abbadesse,
agent7_pietro,Acafè,"Piazzale Luigi Cadorna, 20123, Milano",Milano,45.468508,9.17557,cafe,TARGET,+39028053860,,Mo-Su 07:00-20:00,,Acafè,
agent7_pietro,Acquarius,,Milano,45.486717,9.198319,cafe,TARGET,,,Mo-Su 07:00-20:00,,Acquarius,
agent7_pietro,Actors' Studio Cafe,"Via Terraggio 11, 20123, Milano",Milano,45.46553,9.176115,cafe,TARGET,+390236586357,https://it-it.facebook.com/actorstudiocafe/,Mo-Th 09:00-00:00; Fr 09:00-01:00; Sa 21:00-02:00; Su off,,Actors' Studio Cafe,
agent7_pietro,Adriana,"Via Padova 97-99, 20127, Milano",Milano,45.496367,9.230038,cafe,TARGET,+39 02 83419085,,Mo-Su 07:00-20:00,,Adriana,
agent7_pietro,Ai confini del gusto,,Milano,45.462114,9.194406,cafe,TARGET,,,Mo-Su 07:00-20:00,,Ai confini del gusto,
agent7_pietro,Ai tre scalini,,Milano,45.51014,9.196478,cafe,TARGET,,,Mo-Su 07:00-20:00,,Ai tre scalini,
agent7_pietro,Al 37,"Via FAUCHE' GIOVANNI BATTISTA 38, 20154, Milano",Milano,45.487163,9.16212,cafe,TARGET,,,Mo-Su 07:00-20:00,SARPI,Al 37,
agent7_pietro,Al 93,"Ripa PORTA TICINESE (DI) 93, 20143, Milano",Milano,45.449399,9.164677,cafe,TARGET,,,Mo-Su 07:00-20:00,PORTA TICINESE - CONCHETTA,Al 93,
agent7_pietro,Al Bar,,Milano,45.487333,9.195841,cafe,TARGET,,,Mo-Su 07:00-20:00,,Al Bar,
agent7_pietro,Al Baraka Griglieria,"Viale Monte Ceneri, 68, 20155, Milano",Milano,45.491277,9.152864,cafe,TARGET,,,Mo-Su 07:00-20:00,,Al Baraka Griglieria,
agent7_pietro,Al Mio Bar,,Milano,45.528688,9.16311,cafe,TARGET,,,Mo-Su 07:00-20:00,,Al Mio Bar,
agent7_pietro,Al panino 900,"Via Savona 2, 20144, Milano",Milano,45.45617,9.169916,cafe,AMBIGUOUS_TO_REVIEW,+390287166673,https://alpanino900.it/,Mo-Su 07:00-20:00,,Al panino 900,
agent7_pietro,Al Solito Posto,"Via VOLTA ALESSANDRO 17, 20121, Milano",Milano,45.480287,9.183013,cafe,TARGET,,,Mo-Su 07:00-20:00,BRERA,Al Solito Posto,
agent7_pietro,Al...bicocca Milano,"Via Goffredo da Bussero 1, 20162, Milano",Milano,45.518479,9.207035,cafe,TARGET,,,Mo-Su 07:00-20:00,,Al...bicocca Milano,
agent7_pietro,Albarest,,Milano,45.507548,9.236879,cafe,TARGET,,,Mo-Su 07:00-20:00,,Albarest,
agent7_pietro,Alby,"Via OROBONI ANTONIO 13, 20161, Milano",Milano,45.528698,9.171753,cafe,TARGET,,,Mo-Su 07:00-20:00,BRUZZANO,Alby,
agent7_pietro,Alpo's Cafè,"Viale MONZA 83, 20125, Milano",Milano,45.495048,9.219169,cafe,AMBIGUOUS_TO_REVIEW,,,Mo-Su 07:00-20:00,LORETO - CASORETTO - NOLO,Alpo's Cafè,
agent7_pietro,Altro Bar,"Via Ruggero Bonghi 17, 20141, Milano",Milano,45.440925,9.181469,cafe,TARGET,,,Mo-Su 07:00-20:00,,Altro Bar,
agent7_pietro,Altura,"Via LORENTEGGIO 234, 20147, Milano",Milano,45.446301,9.124735,cafe,TARGET,,,Mo-Su 07:00-20:00,LORENTEGGIO,Altura,
agent7_pietro,Amadeus,"Via ADRIANO PUBLIO ELIO 96, 20128, Milano",Milano,45.516191,9.244876,cafe,TARGET,,,Mo-Su 07:00-20:00,ADRIANO,Amadeus,
agent7_pietro,Amaretto Caffé,"Corso MAGENTA 45, 20123, Milano",Milano,45.465768,9.174046,cafe,AMBIGUOUS_TO_REVIEW,+390297102024,,Mo-Su 07:00-20:00,MAGENTA - S. VITTORE,Amaretto Caffé,
agent7_pietro,American Bar,,Milano,45.470075,9.229915,cafe,TARGET,,,Mo-Su 07:00-20:00,,American Bar,
agent7_pietro,Amici,"Piazza Santa Maria del Suffragio 6;8, Milano",Milano,45.461869,9.211193,cafe,TARGET,+39 389 4346714,,Mo-Su 07:00-20:00,,Amici,
agent7_pietro,Amico Bar Tabacchi,,Milano,45.490367,9.230071,cafe,TARGET,,,Mo-Su 07:00-20:00,,Amico Bar Tabacchi,
agent7_pietro,Amir,VIA OLDOFREDI ERCOLE 25,Milano,45.491138,9.197039,cafe,AMBIGUOUS_TO_REVIEW,,,Mo-Su 07:00-20:00,,Amir,
agent7_pietro,Amiri,"Via RICCARDI PADRE PLACIDO 19, 20132, Milano",Milano,45.502183,9.239953,cafe,TARGET,,,Mo-Su 07:00-20:00,PADOVA - TURRO - CRESCENZAGO,Amiri,
agent7_pietro,Amore Sicilian Bakery,"Largo QUINTO ALPINI 7, 20145, Milano",Milano,45.471687,9.167039,cafe,TARGET,+39 02 84249579,,Mo-Su 07:00-20:00,MAGENTA - S. VITTORE,Amore Sicilian Bakery,
agent7_pietro,Anche Ristorante Anche Bar,"Via Carmagnola 5, 20159, Milano",Milano,45.486697,9.186708,cafe,TARGET,,https://anche.it/,Mo-Su 07:00-20:00,,Anche Ristorante Anche Bar,
agent7_pietro,Andy Bar Cafè,"Via CARNIA 31, 20132, Milano",Milano,45.494506,9.235707,cafe,TARGET,,,Mo-Su 07:00-20:00,CIMIANO - ROTTOLE - Q.RE FELTRE,Andy Bar Cafè,
agent7_pietro,Angelo,,Milano,45.476009,9.208756,cafe,TARGET,,,Mo-Su 07:00-20:00,,Angelo,
agent7_pietro,Angelo Azzurro,"Via ANTONINI GIACOMO 58, 20141, Milano",Milano,45.437081,9.196221,cafe,AMBIGUOUS_TO_REVIEW,,,Mo-Su 07:00-20:00,VIGENTINO - Q.RE FATIMA,Angelo Azzurro,
agent7_pietro,Angolo Bar,,Milano,45.493178,9.221402,cafe,TARGET,,,Mo-Su 07:00-20:00,,Angolo Bar,
agent7_pietro,Antica cremeria San Paolo al corso,"Corso VITTORIO EMANUELE II 37B, 20122, Milano",Milano,45.466082,9.196439,cafe,AMBIGUOUS_TO_REVIEW,,,Mo-Su 07:00-20:00,DUOMO,Antica cremeria San Paolo al corso,
agent7_pietro,AnticCùccá,"Via GIOVANNI SUL MURO (SAN) 18, 20121, Milano",Milano,45.465793,9.180375,cafe,TARGET,+39 02 72011044,,Mo-Su 07:00-20:00,DUOMO,AnticCùccá,
agent7_pietro,Antonietta caffè,"Piazzale Fratelli Zavattari, 20149, Milano",Milano,45.476409,9.144363,cafe,TARGET,,,Mo-Su 07:00-20:00,,Antonietta caffè,
agent7_pietro,ApuliaMI,"Via BELLINCIONE BERNARDINO 1, 20134, Milano",Milano,45.48663,9.238431,cafe,TARGET,+39 02 215 4562,,Mo-Su 07:00-20:00,CIMIANO - ROTTOLE - Q.RE FELTRE,ApuliaMI,
agent7_pietro,Aquarius Cafè,"Via FOPPA VINCENZO 21, 20144, Milano",Milano,45.457633,9.16079,cafe,AMBIGUOUS_TO_REVIEW,,,Mo-Su 07:00-20:00,PORTA GENOVA,Aquarius Cafè,
agent7_pietro,Arcadia Caffe Self Service,"Via Fatebenefratelli 22, 20121, Milano",Milano,45.472823,9.192202,cafe,TARGET,,,Mo-Su 07:00-20:00,,Arcadia Caffe Self Service,
agent7_pietro,Archimede Caffè Tabacchi,,Milano,45.465654,9.221314,cafe,TARGET,,,Mo-Su 07:00-20:00,,Archimede Caffè Tabacchi,
agent7_pietro,Area Ristoro,,Milano,45.476544,9.228199,cafe,TARGET,,,Mo-Fr 08:30-18:30,,Area Ristoro,
agent7_pietro,Armonia Cafè,"Viale ARGONNE 32, 20133, Milano",Milano,45.467665,9.228534,cafe,TARGET,,,Mo-Su 07:00-20:00,CORSICA,Armonia Cafè,
