name,lat,lon,amenity,cuisine,website,phone
Gelsomina,45.4802145,9.201232,cafe,,,+39 02 66713 696
Sohos,45.4801747,9.2015922,pub,,,
Outback café,45.4803007,9.2016606,pub,,,
Bar Baldassarre,45.481866,9.203625,cafe,pizza;regional;chicken;italian,,
Carmel,45.45605,9.1366243,restaurant,kosher,https://carmelkosher.it/,
Pachamama,45.4481943,9.1384121,restaurant,peruvian,https://pachamamamilano.it/,
Camarillo Brillo,45.4446001,9.1418269,pub,,https://camarillobrillo.business.site/,
Laumge Cafe,45.4469146,9.1612503,cafe,,,
Tin Whistle,45.4451996,9.1446995,pub,,https://www.facebook.com/tinwhistlemilano/,
Lo Scoglio sul Naviglio,45.4451644,9.1445164,restaurant,pizza;italian;mediterranean;egyptian,,+39 02 8912 3908
Taberna Vasca,45.4448071,9.1428403,restaurant,spanish,http://www.tabernavasca.it/,
La Prosciutteria,45.4899689,9.1889659,restaurant,,,
Cicciopizza,45.4548308,9.2164754,restaurant,pizza,,
Pizzeria Piccola Ischia,45.4541489,9.2159819,restaurant,pizza,,
Löwengrube,45.4558756,9.2056971,restaurant,bavarian,https://lowengrube.it/it/birrerie/milano,+39 02 8688 2402
Murphy's Pub,45.4696964,9.2280645,pub,,,
Le Coq,45.470509,9.2268801,pub,,,
Frida,45.4887512,9.187111,pub,,https://www.fridaisola.it/,+39 02 680260
Smile,45.4603367,9.1551443,cafe,,,
Washington 76,45.4590954,9.1545367,cafe,,,
Fatto Bene Burger,45.4675712,9.1555418,restaurant,,,
Mom,45.4587087,9.2061643,pub,,,
Roxy Bar,45.4489424,9.1623861,cafe,,,
Cantun,45.4872513,9.197977,restaurant,,,
Meat me,45.4888473,9.1830352,restaurant,burger,,
The Manhattan,45.4790873,9.1841339,pub,,,
Mulligan's,45.4894039,9.1677301,pub,,https://mulliganspub.it/,+39 02 09974886
The Saints and the Scholars,45.4890802,9.1675217,pub,,https://www.thesaintspub.it/,
San Giorgio,45.5239109,9.1925821,restaurant,pizza,,
Woodstock,45.4474586,9.1553746,pub,,https://www.qodeup.com/woodstock,
RT HOLL,45.4802593,9.1286846,pub,,,
Pintxo,45.4865484,9.1648819,restaurant,,https://www.pintxomilano.it/,+39 02 36527867
Signorvino,45.4812546,9.1860677,restaurant,,https://www.signorvino.com/it/negozi/lombardia/milano/milano_viale_pasubio_2/B029.html,+39 02 29061583
Blues Bikers Pub,45.446919,9.1805453,pub,,https://www.bluesbikerspub.com/,
Al Baraka,45.4910015,9.1534731,restaurant,barbecue;grill;steak_house,,
Max's,45.4571871,9.1544296,cafe,,,
Al Capriccio,45.454744,9.1543017,restaurant,,,
Don Raffaele,45.4587327,9.1541299,restaurant,pizza,https://www.donraffaele.it/,
Ebony,45.4861797,9.2266105,cafe,italian,,
Mammina,45.4779672,9.1841551,restaurant,pizza,,+39 02 98041961
Assaje,45.4783259,9.1842808,restaurant,pizza,,+39 02 5812 9363
Union Club,45.4725467,9.228593,bar,,,
Bar Plaza,45.4727692,9.2295732,bar,,,
Bar da Vinci,45.4486383,9.2030362,cafe,,,
Urban Wave,45.4488021,9.1976118,bar,,,
Art Rock Cafè,45.4489386,9.2023167,cafe,,https://artrockcafe.eatbu.com/,
Pomodorino,45.4504362,9.2028232,restaurant,,,
The Brisket Smokehouse,45.4506108,9.1700699,restaurant,steak_house,https://www.brisketmilano.com/,
Next,45.4501406,9.2028227,bar,,,+39 02 32960094
Pepe Nero,45.4489847,9.2111071,restaurant,pizza,https://www.pepeneromilano.it/,
Sushi Plus,45.5170385,9.2258505,restaurant,sushi,https://www.sushiplusrestaurant.com/,+39 02 96848714
Vecchio Aratro,45.499762,9.223294,restaurant,,,
Bar 2 Ruote,45.4392393,9.1553198,cafe,,,
Gocce di caffè,45.4420621,9.1550458,cafe,,,
Carmen 2,45.4405918,9.1552532,restaurant,italian;pizza;regional,https://ristorantepizzeriacarmen2.eatbu.com/,+39 02 89122085
Il Diamante 2 - Ristorante Grill Pizzeria,45.4396034,9.1541862,restaurant,pizza,https://www.ristoranteildiamante2.com/,
Pucatè - Bubble Tea,45.4788704,9.2031626,cafe,coffee_shop;tea,https://www.facebook.com/pucatemilano/,
Pezzotti Bar,45.4423151,9.1832738,bar,,,
Bar Pezzotti,45.4393731,9.183085,cafe,,,
Tutta 'Nata Storia,45.4403974,9.1787073,restaurant,pizza,https://www.tuttanatastoriamilano.it/,+39 02 8464137
Caffè 48,45.4439385,9.1823839,cafe,,,
Il Caffè,45.4453883,9.182297,cafe,,,
Bar Lord Byron,45.4388678,9.1836034,bar,,,+390236582100
Sole d'oriente,45.4437363,9.1800203,restaurant,chinese,https://soledoriente-milano.it/,
Ecate,45.4418665,9.1809262,cafe,,https://www.ecatecaffelibreria.com/,
Umi Sushi Poke,45.4415945,9.1790429,restaurant,poke;sushi,https://umi-sushi-poke.it/,
Niky Bar,45.4429313,9.1790582,cafe,,,
Il Paquito,45.4406169,9.1801577,restaurant,,,
Dahlia Lab,45.4507226,9.1901777,bar,,,
Mint Cafe,45.4511665,9.1897035,restaurant,japanese,,+39 02 89059930
Maravea,45.4512102,9.1895458,pub,,,
Taxi Blues,45.4510442,9.1873344,bar,,,
Bar Baffo,45.4663111,9.1282704,bar,,,
Bar Plaza,45.4660495,9.127817,bar,,,+390236530238
Birrificio Lambrate,45.4857051,9.2315149,pub,,https://www.birrificiolambrate.com/,+39 02 70638678
Al Confine,45.4564846,9.1707023,pub,,,
Yguana,45.4589965,9.1824539,bar,,,+39 02 8940 4195
Au Vieux Strasbourg,45.4736675,9.2342317,pub,barbecue;burger,,+39 02 70630062
Bricks,45.4489995,9.17756,pub,,,+39 02 84080172
Stalingrado,45.4867785,9.1602382,pub,,,
Osteria delle Erbe,45.5146215,9.2111879,pub,,,
Chiosco Bibite,45.5176338,9.1196459,cafe,,,
Cafè Vigorelli,45.4828111,9.1584389,cafe,,,
My Life Cafè,45.4834836,9.1613358,bar,,,
IYO Experience,45.4867737,9.159562,restaurant,japanese,https://www.iyo-experience.com/,+39 02 45476898
Tempurateca,45.4861675,9.1600421,restaurant,japanese,https://www.tempurateca.com/,
55 Milano,45.4859082,9.16045,bar,,https://www.55milano.com/,
La Parrilla Mexicana Milano,45.4850275,9.1609476,restaurant,mexican,https://parrillamexicana.it/,+39 0233614449
Indrani,45.4859964,9.1596515,restaurant,indian,,
Calice Bullona,45.4852926,9.1619326,bar,,,
Il Gattopardo,45.4852331,9.1614442,nightclub,,https://www.ilgattopardomilano.com/,
L'Angolo,45.4860412,9.1634378,bar,,,
Al Toscanaccio,45.4846305,9.1628726,restaurant,,,
Oriental Pleasure,45.4856795,9.1628638,restaurant,,http://www.positanodagaspare.com/,
Katei,45.4848856,9.1649861,restaurant,japanese,https://www.kateirestaurant.com/,+39 02 97104552
Contro Vento,45.4846164,9.1658099,restaurant,,https://www.ristorantecontrovento.com/controvento/,+39 02 37920389
Il Caffè di Via Fauche',45.4850877,9.1651791,bar,,,
Ritratto di Caffè,45.4839621,9.1633457,cafe,,,
Rong Lai,45.4828365,9.16569,restaurant,,,
La Rosa dei Venti,45.4837794,9.1642847,restaurant,seafood,https://www.ristorantelarosadeiventi.it/,+39 02 347338
Express Cafè,45.4810212,9.1618768,cafe,,,
Mister Bar,45.4808006,9.1613999,bar,,,
Millenium café,45.4807068,9.1604412,cafe,,,
Fresco,45.4811153,9.1644158,restaurant,italian_pizza;italian,,
Sempione 49,45.481826,9.1635061,cafe,,,
Paradise Caffè,45.4872784,9.1614404,bar,,,
Aquarius,45.4816749,9.1636918,restaurant,seafood,http://www.ristoranteaquarius.com/home-1138.html,+39 02 3315093
Time Out,45.4864124,9.1590177,cafe,,,
Riviera,45.4863254,9.1595877,bar,,,
La Birreria Italiana,45.4827064,9.1666905,restaurant,,,
Flash Bar,45.4825026,9.1667512,cafe,,,
Trattoria,45.5089583,9.1321686,restaurant,,,
Crazy Moon,45.5085673,9.1330956,bar,,,
Happy Hour,45.5169878,9.1203497,bar,,,+39023567193
Mac 111,45.4974144,9.1528452,bar,,,
Bar Castelli,45.499159,9.1504076,cafe,,,
Al 37,45.487121,9.1620329,cafe,,,
Malt,45.4871573,9.1671499,pub,,,+390233602855
Cucina In,45.4849763,9.1669741,restaurant,,https://cucinainmilano.wordpress.com/,+39 02 36745728
3 Jolie,45.4852204,9.1672155,restaurant,,,
Whisky Bar,45.4831171,9.1640946,pub,,,
Bar Mauri,45.4836238,9.1657835,bar,,,
Ristorante Brasile,45.4946248,9.1558934,restaurant,,,
Peter Pan Cafè,45.4995952,9.1492329,cafe,,,
Bar Boschetti,45.5122972,9.1275499,bar,,,
Da Giuliano e Giancarlo,45.5087991,9.1324343,restaurant,pizza,,+39 02 33200311
AL 73,45.5153719,9.1724922,restaurant,italian,,
Frizzi & Lazzi,45.4455769,9.178355,pub,sandwich,,+39028378228
Largo's caffe,45.4807579,9.2364606,pub,,,+39 02 8417 5116
Bar Tiffany,45.4516696,9.1868555,cafe,,,
Pesce con te,45.4510576,9.1944915,restaurant,seafood,,
Giodocet,45.4508039,9.1901641,cafe,,,
Bar Bocconi,45.45074,9.1906166,bar,,,
Lino's Coffe,45.4509808,9.1895706,cafe,,,
Lleva Taps,45.4598362,9.1714761,restaurant,spanish,https://www.llevataps.it/,+39 02 58101105
Venti 136,45.451535,9.187457,cafe,,,
Amici Miei,45.4508431,9.1918941,restaurant,,,
Green Mill,45.4482032,9.1867801,cafe,,,
JJ's Corner,45.4811424,9.2352962,pub,,,+39 02 70600004
Charmant,45.4723196,9.2267793,restaurant,fish,,
Gelateria Delice,45.4710468,9.2287397,cafe,,,
Pizzeria Oceania,45.4704608,9.2289409,restaurant,pizza,,
Barbarian's,45.470696,9.2282944,pub,,,
Dal Bolognese,45.4588892,9.1869976,restaurant,regional,https://milano.dalbolognese.it/,+39 02 62694845
Bar One,45.4592793,9.1924013,bar,,,+390258304472
Ribot,45.4832188,9.1379698,restaurant,italian;steak_house;regional,https://www.ribotmilano.it/,+39 02 33001646
Cotica,45.4887504,9.1187053,restaurant,pizza,,+39 02 33491083
l'Arca,45.4863737,9.1288109,restaurant,pizza,,+39 023083111
DrinKasi,45.4507082,9.1779486,pub,,https://drinkasi.webnode.it,
La Belle Alliance,45.4462528,9.1792204,pub,snack;burger,,
Antica Trattoria Lampugnano,45.4868109,9.1275471,restaurant,,,
Pizza e Mozzarella,45.4466905,9.1651461,restaurant,pizza,https://www.pizzaemozzarella.it/,
Akropolis,45.4871967,9.1842026,restaurant,greek,,
La Pobbia,45.4962402,9.1345211,restaurant,,,
Grand Canyon,45.5028807,9.1239591,restaurant,mexican,,
Amore Sicilian Bakery,45.4716994,9.1670469,cafe,,,+39 02 84249579
Brigante,45.476466,9.1721011,restaurant,,https://www.briganterestaurant.com/,
Bhangrabar,45.4762187,9.1713186,pub,indian,https://bhangrabar.it/,
Deseo,45.4765344,9.1716956,bar,,https://www.deseomilano.com/,+39 02 315164
Bottega Ghiotta,45.4768618,9.1704604,restaurant,regional,,
Il Tunnel,45.4771628,9.1726892,restaurant,,,
Jazz Cafè,45.4772869,9.1707285,bar,,,
Pop Up,45.4776443,9.1724881,restaurant,pizza,,
Okonomiyaki,45.4768092,9.1726491,restaurant,japanese,,
Pils Pub,45.4773077,9.1746406,bar,,https://www.pilspub.com/,+39 02 34592858
Carpe Diem Bar,45.4772324,9.1745466,cafe,,,
Living,45.4763635,9.173164,bar,,https://www.livingmilano.com/,
Pandemus,45.4777967,9.1740196,cafe,,,
Poku Poke Place,45.4776293,9.1702676,restaurant,,,
Osteria della Via Appia,45.4685651,9.172065,restaurant,,,
Breezy Bar,45.5008453,9.1336806,cafe,,,
Globe,45.4717734,9.1442582,bar,,,
Settembrini 18,45.4813183,9.2057119,restaurant,italian,https://ristorantesettembrini18.it/,
Kungfu,45.4815711,9.2041715,restaurant,sushi,,
Granaio,45.4659229,9.1856596,cafe,,,+39 02 89092240
Chocolat,45.4676673,9.1740861,cafe,ice_cream,,
Vanilla,45.4901906,9.1508399,bar,,,
La bottega del caffe' (Marinella),45.4575857,9.1730117,pub,,,+390249531425
Osteria del Ponte,45.4946456,9.0806911,restaurant,,,
King's Pub,45.4513229,9.1776869,pub,,https://kingspub.it/,+39028361264
La Rocchetta Caffe Bistrot​,45.4675119,9.176518,cafe,,https://www.larocchettacaffe.it/,+390278623287
Lioniello,45.454489,9.2136498,restaurant,pizza,,+39 02 72199211
Teorema cafè,45.4535372,9.2147861,cafe,,,
Gran Caffè Bonnet,45.4827112,9.1850579,cafe,,,
New Brand Cafè - Spritzeria - Bubble Tea,45.4768891,9.2252212,cafe,italian;bubble_tea,,
feelgood,45.4620731,9.21983,bar,,,
Seven' Casa dei Ciliegi,45.5038579,9.2230219,restaurant,steak_house,https://www.sevencasadeiciliegi.com/,+39 02 2615190
Pescherie Riunite,45.4562773,9.2046306,restaurant,,https://www.sevengroup.it/seven/index1.htm,+39 02 54019867
Charleston,45.4656651,9.1941376,restaurant,italian,https://www.ristorantecharleston.it/,+39 02 798631
Arcadia Caffe Self Service,45.4728226,9.1922018,cafe,,,
Bar Valdagno,45.4608183,9.1117495,cafe,,,
Tabaccheria Amico Bar Alex,45.4639035,9.0924912,cafe,,,
J & M bar,45.4604615,9.1170718,cafe,,,
Dada Bar,45.4613624,9.0903421,cafe,,https://www.facebook.com/dadabaggio/,
Da Carlo,45.4608288,9.0937235,cafe,,,
Bar Siena,45.4657404,9.1365998,cafe,,,
happy bar,45.4602383,9.1121259,cafe,,,
II Principe dei Navigli,45.4473636,9.1549105,restaurant,italian;pizza,http://ilprincipedeinavigli.it/,+39 02 89126248
Taverna degli Amici,45.4593444,9.2079474,restaurant,,,
Cris Bar,45.4629009,9.0872921,cafe,,,
Famil Bar,45.4625096,9.0870024,cafe,,,
Bar Sorriso,45.4625474,9.133686,cafe,,,
Bar Torrefazione,45.4626175,9.1333419,cafe,,,
Chicchi e Grappoli,45.4606751,9.0950499,cafe,,,
Bar Max,45.4649689,9.0913924,cafe,,,
My Coffee Bar,45.4609803,9.0942818,cafe,,,
Small Café,45.4938763,9.1848747,cafe,,,
Shatar Pub,45.4726581,9.1429735,pub,,http://www.shatarpub.com,+393662528078
Good Fellas,45.4690024,9.1847868,cafe,,,
Hosteria della musica,45.4720662,9.185702,restaurant,italian,,
California Bakery,45.4533021,9.1807732,restaurant,,https://californiabakery.it/,+39 02 83526866
La Magolfa,45.4500423,9.1754638,restaurant,pizza,,
R113 Ripa's Drink,45.4485224,9.1604106,bar,,,
Albatros,45.4859466,9.2298942,bar,,,
Langosteria Bistrot,45.4556116,9.1715002,restaurant,italian;fish,https://langosteria.com/langosteria-bistrot/,+39 02 5810 7802
I Capatosta Navigli,45.4510206,9.1705008,restaurant,pizza,https://www.icapatosta.it,+39 02 8941 5910
Il Tiglio,45.4919543,9.2162792,restaurant,chinese,,
Le Nove Scodelle,45.4875047,9.2173149,restaurant,sichuan,,
Caffè caviglia,45.4421086,9.2304175,cafe,,,
Nowhere,45.4560079,9.181779,cafe,,https://nowherecoffeeroasters.com,
Svapo web,45.5075977,9.2043976,cafe,,,
Bar Dolomiti,45.5025497,9.2244785,bar,,,
Snoopy Bar 2,45.5033336,9.224111,bar,,,
Pizzeria Martesana,45.5025816,9.2246935,restaurant,pizza,,
La Scalea,45.5049014,9.2231053,restaurant,pizza,,
ToTap Bar,45.4604309,9.1574839,bar,,,
La Cornucopia,45.4612043,9.2118913,restaurant,italian,,
Caffè Milani,45.4783641,9.2028489,cafe,,,
Lanzhou Ramen,45.4776476,9.2051473,restaurant,chinese;ramen,,+39 02 29519798
Flute bar Milano,45.4916738,9.1887287,bar,,,
Mela Rossa,45.4841413,9.1636818,restaurant,pizza,,
Bon Wei,45.4846332,9.1643979,restaurant,chinese,https://www.bon-wei.it/,+39 02 341308
Osteria delle Corti,45.4848074,9.1650801,restaurant,italian,https://www.osterialecorti.it/,+39 02 33105753
La sirena partenope,45.4834359,9.1655052,restaurant,regional,,
Lost in Town,45.4839367,9.1640319,bar,,http://www.lostintown-milano.com/,
Perché no?,45.5235523,9.2118257,bar,,,
Osteria dei Vecchi Sapori,45.4863171,9.1866888,restaurant,italian;regional,http://www.vecchisapori.it/,+39 02 6686148
Bar Dei Bossi,45.4677603,9.1870275,cafe,,,
Bar 2,45.4507477,9.1970381,bar,,,
Bar Chicco,45.4434837,9.1390721,cafe,,,
Spontini,45.4819876,9.2131304,restaurant,pizza,,
Ristorante Nuova Arena,45.4780354,9.1801458,restaurant,italian,http://www.nuovaarena.it/,+39 02 341437
Bar Bianco,45.4735526,9.1775313,bar,,https://www.barbiancomilano.com/,
Qui si mangia,45.4883612,9.1526327,restaurant,,,
Caffè Milano,45.4945545,9.2194549,cafe,,,
Taipur,45.4945884,9.2194602,restaurant,indian,,
Cheese,45.4591129,9.1821683,bar,,,
Temakinho,45.4679306,9.1745645,restaurant,sushi;brazilian,https://www.temakinho.com/milan-magenta/,+390238236561
Trattoria A casa mia,45.5293431,9.1728086,restaurant,,,
Trotter,45.4678804,9.133861,restaurant,,,
PizzaBig,45.4889025,9.2109699,restaurant,pizza,,
20 - Twenty,45.4596949,9.182179,bar,,,
La Hora Feliz,45.4594315,9.182812,bar,,,
il Punto Dolce Salato,45.4858138,9.2375165,cafe,,,
California,45.5234499,9.1926098,restaurant,burger;pizza,,
Yang,45.4855692,9.1976112,restaurant,japanese;italian,https://www.thefork.it/ristorante/yang-sushi-and-fusion-r209757,
New York Lounge,45.4864207,9.2014242,bar,,,
Bab-Al Yemen,45.4867231,9.201601,bar,,,
Caffè Petrarca,45.4852293,9.1990612,cafe,,,
Pizzeria Santa Giulia,45.4360737,9.2399615,restaurant,pizza;italian,,+39 0251630051
Carpe Diem,45.4358912,9.2402861,bar,,,
Nuova Milano,45.4380288,9.2436236,pub,,,+39 02 5162 1588
Caffè Mood,45.4369113,9.2418632,cafe,,,
Caffè Cinquecento,45.5151171,9.2130089,bar,,,
Pan cafè,45.5155043,9.2115605,bar,,,
Affori Ristorante,45.5193207,9.169975,restaurant,italian,https://www.ristoranteaffori.com/,
3D Bar,45.519989,9.1689718,bar,,,
Astesani41,45.5198725,9.1695316,cafe,,,
Non solo caffè,45.5201239,9.1706593,cafe,,,
Petit bar,45.5207014,9.1709253,cafe,,,
Fusion Ken,45.5210483,9.1691776,restaurant,chinese,,
Taac,45.5121684,9.1704534,restaurant,italian;regional,https://www.taactrattoria.it/,
Malù Bar,45.4392043,9.2162831,cafe,,,
Bar Lisi,45.4387658,9.2161785,cafe,,,
Bar Tabacchi,45.4389314,9.2161303,cafe,,,
Bar William,45.446176,9.1243435,bar,,,
Art Factory,45.4856666,9.210702,cafe,,,
Ciu's,45.481766,9.2136004,bar,,,
Pizzeria Da Pino,45.5093058,9.2027363,restaurant,pizza,,+39 02 642 8465
Pizzeria Pratocentenaro,45.5086639,9.2004984,restaurant,pizza,,
Al Desiderio,45.5067569,9.2014068,restaurant,pizza;japanese;italian,http://www.ristorantealdesiderio.it/,+39 02 6471173
Osteria del binari,45.4538255,9.169006,restaurant,regional;italian,https://www.osteriadelbinari.it/,+390289409428;+390289406753
Pizzeria-élite Pasqualino Rossi,45.4528071,9.1663051,restaurant,pizza,,
Koshin,45.4839694,9.2425222,restaurant,sushi;chinese;japanese,,
Taveggia,45.4633048,9.1990533,cafe,,,
Mykonos,45.5034426,9.2207933,restaurant,greek,https://www.mykonos-ristorantegreco.it/,+39 02 2610209
Al Mio Bar,45.5286878,9.1631096,cafe,,,
Osteria dei Formaggi,45.4510706,9.1706931,restaurant,italian,https://assodifiori.com/,+390289409415
Al Garghet,45.4198732,9.1930474,restaurant,,https://algarghet.it/,+39 02 534698
Kandoo,45.4619892,9.2283974,restaurant,japanese,,
Tigella's,45.4619632,9.2279965,restaurant,regional,,
Forno Antico,45.4623323,9.2329266,restaurant,pizza,,
Birreria Stella,45.4685247,9.2262905,pub,,,
Ai 3 Scugnizzi,45.5048616,9.1850903,restaurant,italian,www.ristorantepizzeriaaitrescugnizzi.com,
Mandarin 2,45.4802026,9.2195274,restaurant,chinese,,
Bontà Più,45.4797273,9.2210821,restaurant,italian,,
Hot Meeting,45.479291,9.2210553,restaurant,italian,,
Trattoria Ambrosiana,45.4813695,9.2177821,restaurant,italian,,
Starrise,45.4802125,9.2205886,restaurant,italian,,
Piccola Ischia,45.4817289,9.2173437,restaurant,pizza,,
Milord,45.4789939,9.2209909,restaurant,italian,,
DiVino,45.4794999,9.2214065,restaurant,italian,,
Bar Basso,45.4767746,9.2175792,cafe,,http://www.barbasso.com/,+39 02 29400580
Le Colline Senesi,45.4755305,9.2129604,restaurant,regional,,
Trattoria Bertamè,45.4833612,9.2229063,restaurant,,,
Bar dei Sogni,45.477967,9.2232547,cafe,,,
Osteria Il Trullo,45.4750857,9.2130892,restaurant,regional,,+39 02 29513720
Jin Yong,45.4597139,9.1810584,restaurant,chinese,,
Bar Sand,45.469638,9.2299117,bar,,,
La liberazione,45.4633974,9.2303916,bar,,,
Bento Bus,45.4823169,9.2301815,restaurant,fish;sushi,,+39 392 867 8888
Bar Skuisito,45.4815406,9.2278238,cafe,,,+39 02 7063 8397
Beverly,45.4807246,9.2243456,cafe,,,
Il Doge di Amalfi,45.4719224,9.2288156,restaurant,italian,,
Caffé Scaringi,45.4813601,9.2262137,cafe,,,
CITRIX,45.4819786,9.2297844,cafe,,,
Il Postino,45.4811105,9.2350653,restaurant,pizza,,
Birrificio Lambrate,45.4796764,9.2344712,pub,burger;sandwich;sausage,,+39 02 8496 1890
Harp Pub Guinness,45.4772546,9.2255218,pub,,https://harppubguinness.eatbu.com,+39 02 36686194
Gran Galà,45.470807,9.2299368,bar,,,+390270123848
Ristorante Nectare,45.4847055,9.1979499,restaurant,,,
Pescato e Mangiato,45.5110468,9.2148813,restaurant,italian,,
Bar 4 Strade,45.5112697,9.2152238,cafe,italian;sandwich,,
Cantina Carducci,45.466503,9.176257,restaurant,,https://www.cantinacarducci.it/,+390286452009
Caffè Carducci,45.4623963,9.1738321,cafe,,,+39028900440
Queen's Bar Tabacchi,45.4624886,9.1735413,cafe,,https://www.queensbartabacchi.com/,+390289013944
Settimio caffè e bistrot,45.4660172,9.162472,cafe,,,
Sushiyo Susa,45.4676397,9.2248773,restaurant,sushi,,
La Cometa,45.468981,9.2246018,restaurant,italian,,
Maitò,45.4688031,9.2234531,restaurant,italian;pizza,,+39 02 70106788
Tabaccheria family café,45.4551759,9.2125108,cafe,,,+39 02 54116397
Hanabi,45.4537105,9.2156412,restaurant,japanese,,
Pupiricchiello,45.4612268,9.1355524,restaurant,pizza,http://pupirichiello.it/,+39024075770
Antica Trattoria Salutati,45.4632511,9.1594139,restaurant,,,+39 02 463 690
Cantun,45.4640647,9.1607256,restaurant,italian;poke;regional,https://www.cantun.it/,+39024814303
Lo Sharman,45.4636865,9.1971216,cafe,,,+39 328 716 9702
Bar Brera,45.4723487,9.1874481,cafe,,,
Bioesseri,45.4728989,9.1885139,restaurant,,,
Jamaica,45.4725976,9.187544,cafe,,,
Bacco di Brera,45.4725183,9.187425,restaurant,italian,,
Ponte di Brera,45.4726094,9.1875402,restaurant,,,
Locanda Alla Scala,45.4690949,9.1880102,restaurant,,,
O' Connell Country Pub,45.4696795,9.1879449,pub,burger;snack,,+39 02 72094888
Salsamenteria di Parma,45.469671,9.1849794,restaurant,,,
el BIRòCC,45.4691055,9.1881644,cafe,,,
La Cararina,45.4733193,9.2315944,bar,,,
Cafè de Flore,45.4733193,9.2305899,bar,,,
La Statale Café,45.4755528,9.234107,cafe,,,
Toki Cafe,45.4825801,9.2297495,cafe,,,
New York Bar,45.4818073,9.2321779,cafe,,,
Al 33,45.5046046,9.1991462,restaurant,,,
Milanese Cafè,45.4728804,9.1948803,restaurant,,,
Portavene (?),45.509278,9.1317513,restaurant,pizza,,
East End,45.4883457,9.254188,pub,,,
Non Solo Caffé,45.4827558,9.2297642,cafe,,,
Sugar,45.449975,9.16739,cafe,,,
Porcavacca,45.4765075,9.2116438,restaurant,,,
Grano & Caffè,45.4765424,9.2115667,cafe,,,
Il Foyer,45.4671528,9.1891788,restaurant,italian,https://gualtieromarchesi.it/ristoranti/il-marchesino,+39 02 72094338
Le Biciclette,45.4578389,9.177196,restaurant,,https://www.lebiciclette.com/,+39 02 5810 4325
Ponticello,45.4515112,9.1742754,restaurant,,,+39 02 89415892
Rita's Tikiroom,45.4504917,9.1695248,bar,,https://www.ritastikiroom.com/it/,+390283555017
Tempio Caffè,45.4733904,9.1951551,cafe,,,
Pizzeria Di Gennaro,45.4657135,9.1916606,restaurant,italian;pizza,,
