source_venue_id,venue_name,latitude,longitude,address,method
27acaf50c23e,Picasso Café,45.423244,9.061887,"Piazza San Lorenzo, 20090, Trezzano sul Naviglio",nominatim_reverse
cc7db091edc2,Panno Verde,45.527403,9.243561,"Via Mantova, 20099, Sesto San Giovanni",nominatim_reverse
ac3899aadd21,Selz,45.480201,9.219244,"Via Donatello, 20131, Milano",nominatim_reverse
05b25135bb6e,Caffè Corridoni,45.463441,9.203440,"Via Filippo Corridoni, 20122, Milano",nominatim_reverse
5b91bfda5fe7,Anna,45.467575,9.223257,"Piazzale Susa, 20133, Milano",nominatim_reverse
b609bb6e7b32,Caffe' Jesi,45.466448,9.231779,"Via privata Labeone, 20133, Milano",nominatim_reverse
42f6cdc202a0,Pandy e Mucca,45.454846,9.209088,"Piazzale Libia, 20135, Milano",nominatim_reverse
3c2759d5e3c4,Extro,45.528742,9.086455,"Viale Alcide De Gasperi, 20017, Rho",nominatim_reverse
a4173e296d97,Caffé Hardy,45.408850,9.125351,"Via Mario Idiomi, 20057, Milano",nominatim_reverse
3ae1714033b8,Bar III Millennio,45.418347,9.121468,"Via Lucania, 20090, Buccinasco",nominatim_reverse
284a18a8c5ce,Gelateria Capriccio,45.409299,9.132046,"Via Giacomo Matteotti, 20057, Milano",nominatim_reverse
d07344b16669,Chocolat,45.480280,9.054675,"Via Carlo d'Adda, 20019, Settimo Milanese",nominatim_reverse
67c1cdf1b5b2,Piper Club,45.411782,9.118146,"Via Galileo Galilei, 20090, Buccinasco",nominatim_reverse
c35044f03e87,Naturalmente Gelato,45.432250,9.120389,"Via degli Alpini, 20090, Buccinasco",nominatim_reverse
63b1eb9d4e7e,Food House,45.420428,9.120442,"Via Lomellina, 20090, Buccinasco",nominatim_reverse
7164326e7657,Anselmo's,45.424315,9.128317,"Via Indipendenza, 20090, Buccinasco",nominatim_reverse
545ff9cdcc0c,Kiss Bar,45.403727,9.131759,"Via Roma, 20057, Milano",nominatim_reverse
cf9fb106837d,Clorofilla,45.482714,9.186529,"Via Alessio di Tocqueville, 20100, Milano",nominatim_reverse
5bfe9be4df1a,Dromobar,45.420700,9.117323,"Via Piero Gobetti, 20090, Buccinasco",nominatim_reverse
7992467607ba,Fonderie Milanesi,45.450706,9.184211,"Via Col Moschin, 20136, Milano",nominatim_reverse
9856a5b4685f,TPR,45.450953,9.184151,"Via Col Moschin, 20136, Milano",nominatim_reverse
dacc411de8cb,Officina Milano,45.449907,9.184400,"Via Giovenale, 20136, Milano",nominatim_reverse
4ec62633aece,Richmond,45.489438,9.200569,"Via Melchiorre Gioia, 20124, Milano",nominatim_reverse
b157cdfa038e,La Guantanamera,45.442357,9.134228,"Via della Ferrera, 20147, Milano",nominatim_reverse
0c7aceab8f10,Cafè Clubino,45.452362,9.184835,"Viale Gian Galeazzo, 20136, Milano",nominatim_reverse
8e7657c75f28,Ritual café paninoteca,45.421484,9.119859,"Piazza San Biagio, 20090, Buccinasco",nominatim_reverse
eaaaf6fdc055,Caffè del Corso,45.440237,9.223295,"Corso Lodi, 20139, Milano",nominatim_reverse
cd393e08156e,caffe Zanzibar,45.520326,9.226800,"Via Sant'Uguzzone, 20126, Milano",nominatim_reverse
992df9be2109,Romeo Cafè,45.407800,9.151769,"Via Cascina Venina, 20090, Milano",nominatim_reverse
cd4efdda3d87,City Pride,45.488845,9.054339,"Via Antonio Gramsci, 20019, Settimo Milanese",nominatim_reverse
0095c06c49cf,Coffe' House,45.538255,9.191378,"Via Aldo Villa, 20091, Bresso",nominatim_reverse
f02f5753f8f5,Clea',45.533192,9.193418,"Via Giuseppe Verdi, 20091, Bresso",nominatim_reverse
c65715a0bb0c,Punto Bar,45.533189,9.194951,"Via Giuseppe Verdi, 20091, Bresso",nominatim_reverse
ccb3f854a513,Tir Na Nog,45.531734,9.194252,"Via Dante Alighieri, 20091, Bresso",nominatim_reverse
c54f1b4b9281,The Botanical Club,45.451138,9.161440,"Via Tortona, 20144, Milano",nominatim_reverse
07a1b7c85303,Il Vero Gusto,45.529500,9.218362,"Via Libero Biagi, 20099, Sesto San Giovanni",nominatim_reverse
eb981d70acde,Vinodromo,45.450403,9.194870,"Via Salasco, 20122, Milano",nominatim_reverse
f9dfaf9b9db7,Meeting,45.481049,9.144450,"Via Sebastiano Veniero, 20148, Milano",nominatim_reverse
99e20eea659f,DolceSalato,45.535958,9.192784,"Via Vittorio Veneto, 20091, Bresso",nominatim_reverse
64ae16c09c41,Downtown,45.442927,9.113339,"Via Amerigo Vespucci, 20152, Corsico",nominatim_reverse
a4b5f62ff90f,Erica,45.439425,9.092510,"Via Eugenio Curiel, 20094, Corsico",nominatim_reverse
570508b109e7,Meggy's Caffè,45.443070,9.113345,"Piazza Aristide Carabelli, 20152, Corsico",nominatim_reverse
dbfe0ca29b30,L'artista,45.450747,9.223407,"Via Rodolfo Carabelli, 20137, Milano",nominatim_reverse
a40cca44a238,Club Plastic,45.438136,9.206107,"Via Giuseppe Scalarini, 20139, Milano",nominatim_reverse
95a6e8de9f49,New Coffée,45.452278,9.221514,"Via Emilio Faa' Di Bruno, 20137, Milano",nominatim_reverse
63b5d3e3fd33,Foca Loca,45.461325,9.191458,"Via Flavio Baracchini, 20122, Milano",nominatim_reverse
340f4acfeb59,Tely's,45.394506,9.244466,"Via Luciano Manara, 20097, San Giuliano Milanese",nominatim_reverse
cc71d8064ed4,Bambù club,45.488013,9.218923,"Via Padova, 20131, Milano",nominatim_reverse
3c073a06c8d4,Tin,45.491822,9.213777,"Via Nino Oxilia, 20131, Milano",nominatim_reverse
5b3961f520b6,Fenice,45.424877,9.066265,"Via Francesco Crispi, 20090, Trezzano sul Naviglio",nominatim_reverse
03b632d25e16,Bar Gianni,45.532179,9.053759,"Via Gorizia, 20017, Rho",nominatim_reverse
529cdd2a0b49,Retrò Beach Bar,45.532312,9.136611,"Via Bertola da Novate, 20026, Novate Milanese",nominatim_reverse
35e6d00e27d3,LibrOsteria,45.478543,9.177723,"Piazza Santissima Trinità, 20154, Milano",nominatim_reverse
af7875f2afd4,Bar dei portici,45.441100,9.116430,"Via Molinetto di Lorenteggio, 20152, Corsico",nominatim_reverse
bbaf996a0a97,Pic Nic,45.441376,9.116279,"Via Molinetto di Lorenteggio, 20152, Corsico",nominatim_reverse
dba9e445e3ad,Vesta,45.472105,9.186968,"Via Fiori Chiari, 20121, Milano",nominatim_reverse
c5b71e582d7a,GEB,45.492219,9.188628,"Via Genova Thaon Di Revel, 20159, Milano",nominatim_reverse
8aa08ed50467,Fonzie's Pub,45.535744,9.238713,"Piazza Luigi Petazzi, 20099, Sesto San Giovanni",nominatim_reverse
8bd154b1bc31,Animor Cafè,45.533914,9.238725,"Via Antonio Stoppani, 20099, Sesto San Giovanni",nominatim_reverse
790481c6bdbd,Et pourqoui pas?,45.449264,9.210965,"Via Pietro Colletta, 20135, Milano",nominatim_reverse
f10e4fc9e6c7,Bottini,45.457945,9.180551,"Via dei Fabbri, 20123, Milano",nominatim_reverse
714e6d22b4fb,Bar Italiano,45.536541,9.231926,"Viale Fratelli Casiraghi, 20099, Sesto San Giovanni",nominatim_reverse
6e48b6329343,Le Vele,45.535256,9.231402,"Viale Fratelli Casiraghi, 20099, Sesto San Giovanni",nominatim_reverse
362398175bd4,Bar Pisa,45.531483,9.251883,"Via Pisa, 20099, Sesto San Giovanni",nominatim_reverse
a83524068d88,Andy's Bar,45.528797,9.229353,"Via Renzo Del Riccio, 20099, Sesto San Giovanni",nominatim_reverse
b6689789cec3,AgroRistoro,45.465770,9.240806,"Via Cavriana, 20133, Milano",nominatim_reverse
91f4e9b4cf67,Foglie Music Lounge Bar,45.527251,9.230587,"Via Ventiquattro Maggio, 20099, Sesto San Giovanni",nominatim_reverse
d23709dffd40,Bar GinOra Bistrot,45.529134,9.229473,"Viale Ercole Marelli, 20099, Sesto San Giovanni",nominatim_reverse
a74458e8a485,Le Ciliegie,45.538460,9.227105,"Viale Giacomo Matteotti, 20099, Sesto San Giovanni",nominatim_reverse
c4bb397c190d,Puro Milano,45.488176,9.189091,"Via Pietro Borsieri, 20159, Milano",nominatim_reverse
377befc8b5a2,7's Gio,45.495806,9.266482,"Strada di Spina Milano 2, 21771, Segrate",nominatim_reverse
73ce026caa70,Off/flavour,45.442820,9.212445,"Via Benaco, 20139, Milano",nominatim_reverse
96db3f522ff5,Liora,45.446924,9.211254,"Corso Lodi, 20135, Milano",nominatim_reverse
345bd5d6fedb,Bar del Capolinea,45.508636,9.189844,"Viale Ca' Granda, 20162, Milano",nominatim_reverse
b71f47e41e03,AgipCafè,45.525298,9.265737,"Viale Europa, 20093, Cologno Monzese",nominatim_reverse
66117b9931f8,Circolo ex Combattenti e Reduci,45.481723,9.181718,"Via Alessandro Volta 23, 20121, Milano",nominatim_reverse
10cd65282de6,Bistro Cortile,45.452575,9.163781,"Via Tortona, 20144, Milano",nominatim_reverse
14763c6a555a,Chiosco Giò,45.471344,9.174217,"Viale Emilio Alemagna, 20123, Milano",nominatim_reverse
01c5de3f30df,Gianni Saporito,45.466077,9.154878,"Piazza Piemonte, 20149, Milano",nominatim_reverse
064f4cf13f1a,Luca Loco,45.460059,9.149291,"Piazzale Tripoli, 20146, Milano",nominatim_reverse
