venue_name,lat,lon,amenity,leisure,sport,website,phone,addr_street,addr_city,addr_postcode,opening_hours,brand,operator
Circolo Sportivo La Raquette,44.470683,11.3762021,,sports_centre,tennis,http://www.laraquette.it/cms/index.php,+39 051 6233039,Via delle Armi,Bologna,40141,,,
Health & Fitness,43.8778053,10.2904492,,fitness_centre,,,,,,,,,
Pro Recco Tennis,44.3695982,9.1489388,,sports_centre,,,,,,,,,
ASD Cavalli e Natura,41.1935882,15.8782511,,sports_centre,equestrian,,+39 338 4135231,,,,,,
Toscolano Maderno A.C.,45.6394181,10.6112567,,sports_centre,soccer,,,Via Regionale,Toscolano Maderno,25084,,,
Corna dal Vescov,45.8379889,10.5691253,,sports_centre,climbing,https://www.caisatstoro.it/index.php/strumenti/palestra-corna-del-vescov,,,,,,,
Falesia di Lumignano,45.4603101,11.5735935,,sports_centre,climbing,,,,,,,,
Pardini Sport Center,43.8992324,10.2466342,,sports_centre,,https://pardinisportingcenter.it/,,,,,,,
B2K Balena 2000,43.867451,10.2420707,,fitness_centre,,,,,,,,,
Stadio Comunale,44.1856741,12.1292296,,sports_centre,,,,,,,,,
Fitness,44.3554986,9.2181993,,fitness_centre,,,,,,,,,
"Parco di arrampicata ""Limarock""",46.0607887,10.9252807,,sports_centre,climbing,,,,,,,,
Limarò,46.0474486,10.9461358,,sports_centre,climbing,,,,,,,,
ASD 2000 Schifanoia,42.4657369,12.5244202,,sports_centre,,,,,,,,,
Circolo Tennis Civitella,42.7731536,13.6701738,,sports_centre,tennis,,,,,,,,
"Hallenbad - Piscina coperta ""Karl Dibiasi""",46.4911858,11.3454091,,sports_centre,swimming,https://opencity.gemeinde.bozen.it/Politik-und-Verwaltung/Lageplan/Hallenbad-Karl-Dibiasi/,+39 0471 911000,Viale Trieste - Triester Straße,Bolzano - Bozen,39100,,,
La Parete Rossa,45.3756911,9.1731061,,sports_centre,climbing,,,,,,Mo-Fr 17:00-23:00; Sa 14:00-19:00; PH off,,
Centro Ippico Conegliano,45.9012267,12.2976116,,sports_centre,equestrian,,,,,,,,
Falesia Arrampicata Sportiva Pietra di Bismantova,44.4193331,10.411549,,sports_centre,climbing,,,,,,,,
Palestra Arrampicata Hard Rock - CAI Reggio Emilia,44.6885372,10.6460046,,sports_centre,climbing,,,,,,,,
"Centro ippico ""La Posada""",44.5470333,8.9962261,,sports_centre,equestrian,,,,,,,,
Pratizzano - Sci di Fondo,44.3761884,10.2492008,,sports_centre,skiing,,,,,,,,
Palamazzali,46.4929943,11.3469013,,sports_centre,basketball,,,,,,,,
Palamazzali,46.493142,11.3464614,,sports_centre,,,,,,,,,
Bocciodromo,46.4932694,11.3463274,,sports_centre,bowls,,,,,,,,
Palestra Athena,36.8259151,14.7628462,,fitness_centre,,,,,,,,,
Palestra Fit-Village,44.6789666,10.6526149,,sports_centre,multi,,,,,,,,
Centro Relife,46.0658703,11.1319097,,fitness_centre,,,,Via Giuseppe Grazioli,Trento,38122,,,
Juta Wellness Center,46.0677131,11.1256533,,fitness_centre,fitness,,,,,,,,
Impianto sportivo San Salvatore,39.2518403,9.1610642,,sports_centre,basketball,,,,,,,,
Palestra comunale,45.4253391,11.5929515,,sports_centre,,,,,,,,,
Busatte Adventure,45.8639336,10.8805582,,sports_centre,climbing_adventure,https://busatteadventure.it/,,,,,,,
Falesia Belvedere Sector A,45.8805674,10.8869872,,sports_centre,climbing,,,,,,,,
Centro Velico Caprera,41.1889224,9.4343261,,sports_centre,sail,,,,,,,,
FC Juventus,44.9779934,7.6151806,,sports_centre,soccer,,,,,,,,
Pony Club,41.9456863,12.3604654,,sports_centre,equestrian,,,Via Guglielmo Girardi,Roma,00166,,,
Fitness Arena,45.4676841,12.5303137,,fitness_centre,,,,Via Fausta,Cavallino-Treporti,30013,,,
Piscina Comunale,45.8988264,12.001988,,sports_centre,swimming,,,,,,,,
Olimpia 1,41.8597482,12.5755292,,sports_centre,swimming,,,Via Giuseppe Messina,Roma,00173,,,
Polisportiva Mancini,41.8598782,12.5758826,,sports_centre,basketball,,,Via Francesco Pellegrini,,,,,
"Palasport ""Palamotta""",45.6003784,11.4982121,,sports_centre,,,,,,,,,
Società Ginnastica Triestina,45.6513806,13.7848413,,sports_centre,gymnastics,,,Via della Ginnastica,Trieste,34142,,,
Rocca Sbarua - Rivero,44.9681522,7.3021786,,sports_centre,climbing,,,,,,,,
Rocca Sbarua - Placche Gialle,44.9680571,7.3011164,,sports_centre,climbing,,,,,,,,
Rocca Sbarua - Cinquetti,44.9690943,7.3039628,,sports_centre,climbing,,,,,,,,
Hello Fit Brescia Nord,45.5664332,10.2308828,,fitness_centre,,,,Via Triumplina,Brescia,25123,Mo-Fr 06:00-24:00; Sa-Su 09:00-22:00,,
Tiro a Segno Nazionale - Ferrara,44.8488721,11.6249522,,sports_centre,shooting,,,Corso Ercole I d'Este,Ferrara,44121,,,
CrossFit Ancona,43.5929293,13.5060759,,fitness_centre,,,,Via del Commercio,,60127,,,
La Vida,41.9779908,15.0079695,,sports_centre,multi,,,,,,,,
New Olimpia,36.9502996,14.6133271,,fitness_centre,,,,,,,,,
Canalino del Penna,44.4820274,9.4936714,,sports_centre,climbing,,,,,,,,
"""Quarter House"" ex Fabrona",44.1103181,12.1174223,,sports_centre,equestrian,,,,,,,,
Palestra Santini,45.5392831,9.1679463,,fitness_centre,fitness,,,,,,,,
Centro Sportivo Life,46.0671392,11.1200153,,sports_centre,multi,https://www.centrosportivolife.com/,+39 0461 231266,,,,Mo-Fr 09:00-22:00; Sa 09:00-12:30,,
Villaggio Arancione,41.4332114,15.120728,,sports_centre,swimming,,,,,,,,
Palestra di roccia del Glemine,46.2759524,13.1430555,,sports_centre,climbing,,,,,,,,
Campi da tennis,45.6263403,8.8437726,,sports_centre,,,,,,,,,
Palacurling,46.1762427,11.2118783,,sports_centre,curling,,,,,,,,
K1 Speed Torino,45.0272712,7.5926621,,sports_centre,karting,,,,,,,,
"Centro Polivalente ""Gino Lottici""",44.7880325,10.3228672,,sports_centre,,,,,,,,,
Piscina Comando Vigili del Fuoco Modena,44.6439317,10.900349,,sports_centre,swimming,https://www.amicidelnuoto.it/,+39 059 335024,Via Monsignore Luigi Della Valle,Modena,41126,,,
Palestra Joy Club,45.8912424,12.3210998,,sports_centre,,,,,,,,,
Palestra Gym&Tonic,44.8251815,11.6324674,,sports_centre,,,+39 0532 741919,Via Colombarola,Ferrara,44124,,,
L. Notari,44.7013894,10.4421646,,sports_centre,,,,,,,,,
Circolo il calcetto 5ive,44.3873152,11.8272727,,sports_centre,tennis;futsal,,,,,,,,
Tennis,44.5084502,11.8273523,,sports_centre,,,,,,,,,
Falesia di Caprile,41.5462501,13.6736279,,sports_centre,climbing,,,,,,,,
Falesia di Pale,42.9854379,12.7712134,,sports_centre,climbing,,,,,,,,
"Palestra ""New Club Sportman""",44.2161861,12.0585759,,sports_centre,,,,,,,,,
Centro Sportivo Ponte Nuovo,44.3897916,12.2177572,,sports_centre,,,,,,,,,
Palestra Liceo Scientifico,39.2401875,9.2124506,,sports_centre,,,,Via Pitz'e Serra,Quartu Sant'Elena,09045,,,
campo sportivo,45.1396537,7.1329412,,sports_centre,,,,,,,,,
Canottieri Porto Ceresio,45.9029145,8.9030899,,sports_centre,canoe,,,,,,,,
Centro Sportivo Santa Maria,41.8887817,12.5051942,,sports_centre,basketball,,,Via Matteo Boiardo,Roma,00185,,,
Campo Sportivo Comunale,45.5001696,9.6870949,,sports_centre,soccer,,,Via Don Arturo Bietti,Fornovo San Giovanni,24040,,,
Palestra Comunale,45.7724055,9.3230314,,sports_centre,,,,Via Molteni,,23844,,,
"Palapalestre ""Padre John Caneparo""",44.8483297,11.613155,,sports_centre,multi,,,Viale Francesco Tumiati,Ferrara,44122,,,
Complesso Sportivo Comunale Arci,41.9490062,12.8336614,,sports_centre,,,,,,,,,
Area Sportiva Rapy,45.7602735,7.5425356,,sports_centre,tennis,,,,,,,,
Bodyline Center,43.8005149,11.2371619,,fitness_centre,,,,,,,,,
Centro sportivo,44.0243527,12.4118264,,sports_centre,,,,,,,,,
Ginnasio Sportivo 'G. Ambrosini',44.2223296,12.0536758,,sports_centre,,,,,,,,,
Energym,46.4862294,11.3190363,,fitness_centre,,,,Via Resia - Reschenstraße,Bolzano - Bozen,39100,"Mo,We,Fr 08:30-21:30; Tu,Th 10:00-21:30; Sa 09:30-12:30,14:00-18:00",,
Boxing-Gym Srl,41.92806,12.4869583,,sports_centre,,,,Viale dei Parioli,,,,,
Palestra di Roccia Gruviera,45.6355688,7.7300436,,sports_centre,climbing,,,,,,,,
Falesia del monte Strabut,46.4071169,13.0412405,,sports_centre,climbing,,,,,,,,
"Centro Sportivo Regione ""Miclet""",44.32632,7.6051511,,sports_centre,,,,,,,,,
Mister Gym,41.8780983,12.5264731,,sports_centre,multi,,,Via Gubbio,Roma,00181,,,
Fitnes Club,41.8750317,12.5204164,,sports_centre,multi,,,Via Gino Capponi,,,,,
Centro Sportivo Comunale,44.9502594,9.4096178,,sports_centre,,,,,,,,,
Schulturnhalle - Palestra Scolastica,46.8941933,11.4385501,,sports_centre,,,,,,,,,
The Crew - Fit & Fight,45.3221166,8.3943436,,fitness_centre,mma;thai_boxing,https://fitprime.com/it/palestre/vercelli/the_crew_fit_fight,+39 333 7926686,Via Giuseppe Milano,Vercelli,13100,Mo-Fr 09:00-21:00; Sa 10:00-14:00,,
Bocciodromo San Paolo,43.6064635,13.5098927,,sports_centre,bowls,,,,,,,,
Falesie di Sefro,43.1192421,12.9263925,,sports_centre,climbing,,,,,,,,
House of Boxing,46.0939614,11.1104023,,sports_centre,boxing,https://www.houseofboxing.it/,,Via Giambattista Unterveger,Trento,38121,,,
Palestra comunale,45.033252,9.1853429,,sports_centre,,,,,,,,,
A.S.D. Palestra California Club,44.4034916,8.6778395,,sports_centre,,https://www.californiaclub.info/,+39 010 9130201,,,,,,
Fisio Sport Pecchia,41.4019825,13.4645984,,sports_centre,,https://www.facebook.com/fisiosport.pecchia,+39 077 1589024,,,,,,
Bocciodromo comunale,45.4996504,8.8551066,,sports_centre,bowls,,,,,,,,
Palestra comunale AMA Sport,45.378932,9.1594225,,sports_centre,,,,,,,,,
Sporting,46.1358957,12.2010583,,fitness_centre,taijiquan,,,Via Feltre,Belluno,,,,
Golf Villa D'Este,45.7779774,9.1401147,,sports_centre,,,+39 031 200200,Via Cantù,Montorfano,22030,,,
Circolo Nautico Donoratico,43.1828797,10.5393265,,sports_centre,nautical,,,,,,,,
Palazzetto Sport Comunale,44.3266348,7.6736354,,sports_centre,volleyball,,,,,,,,
Campo Calcio Comunale,44.3271881,7.6737004,,sports_centre,,,,,,,,,
Palazzetto di Villa Guardia,45.7729577,9.0287506,,sports_centre,,,,,,,,,
Laerru climb,40.8200972,8.8245015,,sports_centre,climbing,,,,,,,,
Sportzone Gries Toblach - Zona Sportiva Gries Dobbiaco,46.7353566,12.2156194,,sports_centre,multi,,+39 345 8547435,,,,9:30 - 23:00,,
Palestra,46.2484331,11.1703284,,sports_centre,,,,,Roveré della Luna,,,,
Calcio e Tennis San Marco,45.7659818,11.7486624,,sports_centre,,,,,,,,,
Centro Giovanile,45.7629747,11.7343431,community_centre,sports_centre,,,,,,,,,
Sporting Club,45.7698823,11.7868947,,sports_centre,,,,,,,,,
Campo Sportivo,45.8505388,12.2822924,,sports_centre,,,,,,,,,
Campo Sportivo di Creazzo,45.5294182,11.4765126,,sports_centre,,,,,,,,,
circolo ippico,45.3752282,11.1217239,,sports_centre,,,,,,,,,
Palazzetto dello Sport,45.3767508,11.1261154,,sports_centre,,,,Via Aldo Moro,Zevio,37059,,,
palestra miami gym,45.418288,11.1364247,,sports_centre,,,,,,,,,
Naturrodelbahn Schleis,46.6890565,10.5076548,,sports_centre,,,,,,,,,
Stadio di Montagnana,45.2369081,11.4684062,,sports_centre,,,,,,,,,
Palazzetto dello sport,45.7682691,11.7231133,,sports_centre,,,,,,,,,
Sentiero vita,40.0940211,15.4136934,,sports_centre,gymnastics,,,,,,,,
Centro Sportivo San Vito,45.7737097,11.7478285,,sports_centre,,,,,,,,,
Palestra Comunale,45.8283056,11.8360008,,sports_centre,,,,,,,,,
Garden Tennis Club,45.5235613,9.1457246,,sports_centre,tennis,,,Via Trento e Trieste,,20026,,,
F.A.C.A.N. S.r.l.,39.9132164,8.5881796,,sports_centre,10pin,,,,,,,,
Centro sportivo Parrocchiale Cà Baroncello,45.7600101,11.7471993,,sports_centre,,,,,,,,,
Campo Sportivo Meduna,45.8107508,12.613714,,sports_centre,,,,,,,,,
Eden Gym,44.4026766,8.9362632,,sports_centre,gymnastics,,,Via Santa Maria in Via Lata,,,,,
Campo polivalente,46.5268865,12.9888473,,sports_centre,soccer,,,,,,,,
Gym Center,45.4101662,11.8689738,,sports_centre,,,,Corso Milano,,,,,
Tiro a segno nazionale,45.4250638,12.3781957,,sports_centre,shooting,,,Riviera San Nicolò,,,,,
FitPark,46.0688867,11.1287601,,fitness_centre,,,,Piazza Venezia,,38122,Mo-Fr 09:00-21:00,,
Piscina Comunale,44.1271458,12.0722336,,sports_centre,swimming,,,,,,,,
Campo Sportivo di Martellago,45.5421196,12.1664237,,sports_centre,,,,,,,,,
Campo Sportivo di Barbarano,45.4081936,11.5469834,,sports_centre,,,,,,,,,
Boby Building Filippin,45.8269024,11.8583611,,sports_centre,,,,,,,,,
Armonia,43.4201399,11.125861,,fitness_centre,,,,,,,,,
Palestra Tecce,43.4208477,11.1248094,,fitness_centre,,,,,,,,,
In Fit Cub ex Linus Fitness Club,40.9105201,14.2635063,,fitness_centre,,,,,,,,,
Parco dell'Arrampicata Val Lomasone - Settore Roccia dei Folletti,45.9724586,10.865473,,sports_centre,climbing,,,,,,,,
Corefit,41.8605346,12.4925094,,fitness_centre,,,,Via delle Sette Chiese,Roma,00145,,,
Starbene Palestra,43.4660293,12.2459112,,fitness_centre,,,,,,,,,
Centro Sportivo Clodia,45.2128128,12.2963632,,sports_centre,,,,,,,,,
Piscine Astoria,45.215443,12.2961228,,sports_centre,swimming,,,,,,,,
Campo Sportivo Bovolone,45.253601,11.1365353,,sports_centre,,,,,,,,,
"Bocciodromo ""Antonio Nidoli""",45.7798711,8.6968253,,sports_centre,bowls,,,,,,,,
Gym Tonik,46.0568629,11.4552715,,fitness_centre,,,,,,,"Mo-Fr 16:00-21:00; Sa,Su,PH off",,
Campo sportivo,45.2264391,9.7705757,,sports_centre,soccer,,,,,,,,
Virgin Active,45.5019284,9.1828827,,fitness_centre,fitness,https://www.virginactive.it/centri_fitness/milano/maciachini,,,,,,Virgin Active,
Borgo Primo Maggio Football Club,45.4094973,10.9924054,,sports_centre,,,,,,,,,
Centro Sportivo,45.7593931,9.2894959,,sports_centre,soccer,,,,,23892,,,
Stadio Comunale,40.8755978,14.1332354,,sports_centre,,,,,,,,,
GoKart,40.883391,14.1259973,,sports_centre,,,,,,,,,
Q-Zar Roma,41.8729813,12.4602669,,sports_centre,laser_tag,,,Via Francesco Massi,Roma,00152,,,
Piscine di Oderzo,45.7874581,12.4924999,,sports_centre,swimming,,,,,,,,
Maneggio Val Tress,45.7526209,10.1209575,,sports_centre,equestrian,,,,,,,,
Palestra comunale,45.8718001,8.8721788,,sports_centre,,,,,,,,,
Palestra Comunale,42.4657738,12.3093719,,sports_centre,,,,,,,,,
La Lama,44.0525807,10.8570244,,sports_centre,,,,,,,,,
Heaven Due Sporting Club,41.9511691,12.5799969,,sports_centre,multi,,,,,,,,
Palestra Bistolfi,45.1344562,8.4562324,,sports_centre,gymnastics,,,,,,,,
Associazione Sportiva Dilettantistica Macallesi Bussero,45.5385989,9.3746098,,sports_centre,,https://www.asdmacallesibussero.it/,,Via San Francesco,Bussero,20041,,,
Curves,44.404509,8.9672501,,fitness_centre,fitness,,,,,,,Curves,
Meta Health Club,41.1041586,16.8797806,,sports_centre,,,,,,,,,
Original gym,43.5576414,10.340325,,fitness_centre,,,,,,,,,
Star Club,46.0944237,11.1099442,,fitness_centre,fitness,,,Via Giambattista Unterveger,Trento,38121,Tu-Fr 09:30-22:00;Sa 09:00-12:00,,
Centro Volo Libero Alta Badia,46.5496146,11.8708498,,sports_centre,free_flying,https://www.tandemflights.it/flight-school,,,,,,,
Karate Galliera,45.6754565,11.8170375,,sports_centre,multi,,,,,,,,
Valbella Ski Area,45.8726213,11.56572,,sports_centre,skiing,,,,,,,,
Circolo sportivo la Fornace,44.6010839,8.3545598,,sports_centre,soccer,,,Piazza Fornace,,15010,,,
Palazzetto dello Sport,46.1494893,10.1456977,,sports_centre,,,,,,,,,
Piscina Martin Luther King,44.4824189,11.2838243,,sports_centre,swimming,,,,,,,,
Palazzetto dello Sport,43.3016979,12.3432119,,sports_centre,,,,,,,,,
Planet Fitness,41.3519618,13.4174077,,sports_centre,,,,,,,,,
Centro Tecnico Federale D'Area Liguria Est Valletta Cambiaso,44.3975386,8.9621862,,sports_centre,tennis,,,,,,,,
Palazzetto dello Sport di Strada In Chianti,43.6566017,11.3025014,,sports_centre,,,,Via Giuseppe Mazzini,Greve in Chianti,50027,,,
Campo da calcio,43.6574165,11.3025877,,sports_centre,soccer,,,,,,,,
Palazzetto del tennis,45.7491964,7.6481566,,sports_centre,,,,,,,,,
Beretta Equisport,45.5834832,9.6593164,,sports_centre,equestrian,,,,,,,,
Padel club ardeatino,41.8088857,12.5244508,,sports_centre,,,,,,,,,
Bocciodromo,46.1597098,13.1809732,,sports_centre,,,,,,,,,
Monterenzio Calcio,44.322498,11.4038891,,sports_centre,soccer,,,,,,,,
Maneggio Belvedere,42.6626574,11.701157,,sports_centre,equestrian,,,SP4,,58010,,,
Impianti sportivi,40.0954856,15.4149076,,sports_centre,soccer,,,,,,,,
C.U.S. Pavia,45.198218,9.1422759,,sports_centre,,,,,,,,,
Shotokan Palestra,44.5054268,11.2930903,,sports_centre,,,,Via Telemaco Signorini,Bologna,40133,,,
Circolo Tennis Corallo,45.9353488,13.5725003,,sports_centre,tennis,,,,,,,,
Sporting Village,41.8363938,12.5583205,,sports_centre,,http://www.sportingvillage.it/,,Via Polia,Roma,00178,,,
PalaRavizza,45.200237,9.1750589,,sports_centre,basketball,,,,,,,,
Piscina Intercomunale,44.4849204,12.0182734,,sports_centre,swimming,,,,,,,,
Oriente Acquaviva,43.5344451,10.3048982,,sports_centre,,,,,,,,,
La tana del geco,44.98733,9.0069815,,sports_centre,boulder,,,,Voghera,27058,,,
Golf Green,43.8334433,7.7542244,,sports_centre,,,,Strada Campo Golf,,18038,,,
Folzer,44.4341169,8.8916357,,sports_centre,,,,,,,,,
Piscina,45.6657163,7.6909185,,sports_centre,swimming,,,Via XXVI Febbraio,Verrès,11029,Mo-Sa 15-20:30,,
Intesa Calcio,41.1015492,16.9190974,,sports_centre,soccer,,,,,,,,
Sportzone Texel,46.7154599,10.8672139,,sports_centre,,,,,,,,,
Piscine comunali Sestri Levante,44.2720056,9.4053751,,sports_centre,swimming,,+39 0185 491152,Via Vincenzo Fascie,Sestri Levante,16039,"Mo-Fr 08:30-20:30; Sa,Su 09:00-20:00",,
Peter Pan Fitness,44.4039567,8.9305827,,sports_centre,gymnastics,,,,,,,,
Polisportiva la Felce,44.7243666,10.116054,,sports_centre,,,,Via fratelli Busani,,,,,
Falesia di Marciaga,45.5984628,10.7081515,,sports_centre,climbing,,,,,,,,
Stadio Crestella,45.5990969,7.7819096,,sports_centre,multi,,,,,,,,
A.S.D. Sinergie,43.8939978,11.0987966,,sports_centre,gymnastics,,,,,,,,
Virgin Active,41.9630121,12.5208543,,fitness_centre,swimming;fitness,,,,,,,Virgin Active,
Paradiso Sportcenter,44.1767408,12.4243347,,sports_centre,,,,,,,,,
Action Fit,45.668882,9.2463579,,fitness_centre,,https://www.actionfit.it/carate-brianza/,,Via Brenta,Carate Brianza,20841,,,
Kodokan Judo,44.2695546,9.4009716,,sports_centre,,,,Via Val di Canepa,,16039,,,
6 24 palestre,45.3864359,9.2966794,,sports_centre,,,,,,,,,
Urban Fitness,43.6158427,13.5143702,,fitness_centre,,,,Via San Martino,Ancona,60122,Mo-Fr 07:00-21:00; Sa 08:00-14:00,,
Presura,46.4880809,10.2882237,,sports_centre,,,,,,,,,
Mistral,42.3151177,14.0769459,,sports_centre,gymnastics,,+39 085 856 1696,Via Tiburtina Valeria,Manoppello,65024,,,
Scuola Sci Doganaccia 2000,44.1219949,10.776708,,sports_centre,,,,,,,,,
Parco Avventura,44.1246238,10.7722234,,sports_centre,climbing,,,,,,,,
Priorato,45.71111,7.2380993,,sports_centre,climbing,,,,,,,,
