name,lat,lon,amenity,cuisine,website,phone,opening_hours,address
Roxy Bar,45.4489424,9.1623861,cafe,,,,,"Ripa di Porta Ticinese 103, 20143, Milano"
The Manhattan,45.4790873,9.1841339,pub,,,,,"Via Alessandro Volta 4, 20121, Milano"
Mulligan's,45.4894039,9.1677301,pub,,https://mulliganspub.it/,+39 02 09974886,Mo-Sa 18:00-24:00; Tu-Su 24:00-01:00,"Via Giuseppe Govone 28, 20155"
The Saints and the Scholars,45.4890802,9.1675217,pub,,https://www.thesaintspub.it/,,,
Woodstock,45.4474586,9.1553746,pub,,https://www.qodeup.com/woodstock,,"Mo-Fr 12:00-15:00,18:00-01:30, Sa 18:00-02:00, Su 18:00-01:30","Via Lodovico il Moro 3, 20143, Milano"
RT HOLL,45.4802593,9.1286846,pub,,,,,
Blues Bikers Pub,45.4469190,9.1805453,pub,,https://www.bluesbikerspub.com/,,Tu-Su 19:00-02:00; Mo off,"Via Francesco Brioschi 7, 20136, Milano"
Max's,45.4571871,9.1544296,cafe,,,,,"Via Giorgio Washington 88, 20146, Milano"
Ebony,45.4861797,9.2266105,cafe,italian,,,,
Union Club,45.4725467,9.2285930,bar,,,+39 02 70009543,Mo 08:00-02:00; Tu-Fr 10:30-02:00; Sa-Su 18:30-02:00; May-Sep: Su off,"Via Moretto Da Brescia 36, 20133, Milano"
Bar Plaza,45.4727692,9.2295732,bar,,,+39 02 70002900,Mo-Su 06:30-22:00,"Via Moretto Da Brescia 31, 20133, Milano"
Bar da Vinci,45.4486383,9.2030362,cafe,,,,,
Urban Wave,45.4488021,9.1976118,bar,,,,,
Art Rock Cafè,45.4489386,9.2023167,cafe,,https://artrockcafe.eatbu.com/,,,
Next,45.4501406,9.2028227,bar,,,+39 02 32960094,,"Via Crema 7, 20135, Milano"
Bar 2 Ruote,45.4392393,9.1553198,cafe,,,,,"Via Modica 1, 20143, Milano"
Gocce di caffè,45.4420621,9.1550458,cafe,,,,,"Via Ambrogio Binda 25, 20143, Milano"
Pucatè - Bubble Tea,45.4788704,9.2031626,cafe,coffee_shop;tea,https://www.facebook.com/pucatemilano/,+39 345 507 3339,Mo-Su 12:30-20:00,Via Felice Casati 23
Pezzotti Bar,45.4423151,9.1832738,bar,,,,,"Via Giovanni Pezzotti 11, 20141, Milano"
Bar Pezzotti,45.4393731,9.1830850,cafe,,,,,"Via Giovanni Pezzotti 46, 20141, Milano"
Caffè 48,45.4439385,9.1823839,cafe,,,,,"Viale Tibaldi 48, 20141, Milano"
Il Caffè,45.4453883,9.1822970,cafe,,,,,
Bar Lord Byron,45.4388678,9.1836034,bar,,,+390236582100,,"Via Giovanni Pezzotti 55, 20141, Milano"
Ecate,45.4418665,9.1809262,cafe,,https://www.ecatecaffelibreria.com/,,,"Via Pietro Pomponazzi 11, 20141, Milano"
Niky Bar,45.4429313,9.1790582,cafe,,,,,"Via Giuseppe Meda 25, 20136, Milano"
Dahlia Lab,45.4507226,9.1901777,bar,,,,,"Viale Bligny 24, 20136"
Maravea,45.4512102,9.1895458,pub,,,,,
Taxi Blues,45.4510442,9.1873344,bar,,,,,
Bar Baffo,45.4663111,9.1282704,bar,,,,,
Bar Plaza,45.4660495,9.1278170,bar,,,+390236530238,,
Birrificio Lambrate,45.4857051,9.2315149,pub,,https://www.birrificiolambrate.com/,+39 02 70638678,"Mo 00:00-02:30; Tu 18:00-24:00; We-Su 00:00-02:30,18:00-24:00","Via Privata Adelchi 5, 20131, Milano"
Al Confine,45.4564846,9.1707023,pub,,,,,"Viale Coni Zugna 59, 20144, Milano"
Yguana,45.4589965,9.1824539,bar,,,+39 02 8940 4195,,"Via Papa Gregorio Quattordicesimo 16, 20123, Milano"
Au Vieux Strasbourg,45.4736675,9.2342317,pub,barbecue;burger,,+39 02 70630062,Mo-Sa 07:00-02:00; Su 18:00-00:00,"Via Gaetano Strambio 29, 20133, Milano"
Bricks,45.4489995,9.1775600,pub,,,+39 02 84080172,"Mo-Fr 12:00-14:30, 17:00-02:00, Sa-Su 17:00-03:00",
Stalingrado,45.4867785,9.1602382,pub,,,,,
Osteria delle Erbe,45.5146215,9.2111879,pub,,,,,
Chiosco Bibite,45.5176338,9.1196459,cafe,,,,,
Cafè Vigorelli,45.4828111,9.1584389,cafe,,,,,
My Life Cafè,45.4834836,9.1613358,bar,,,,,"Corso Sempione 63, 20149, Milano"
55 Milano,45.4859082,9.1604500,bar,,https://www.55milano.com/,+39 02 34936616,"Mo-Su 00:00-03:00,18:00-24:00","Via Piero della Francesca 55, 20154, Milano"
Calice Bullona,45.4852926,9.1619326,bar,,,,,
Il Gattopardo,45.4852331,9.1614442,nightclub,,https://www.ilgattopardomilano.com/,,,"Via Piero della Francesca 47, 20154, Milano"
L'Angolo,45.4860412,9.1634378,bar,,,,,"Via Losanna 15, 20154, Milano"
Il Caffè di Via Fauche',45.4850877,9.1651791,bar,,,,,
Ritratto di Caffè,45.4839621,9.1633457,cafe,,,,,
Express Cafè,45.4810212,9.1618768,cafe,,,,,
Mister Bar,45.4808006,9.1613999,bar,,,,,"Via Domodossola 21, 20145, Milano"
Millenium café,45.4807068,9.1604412,cafe,,,,,
Sempione 49,45.4818260,9.1635061,cafe,,,,,
Paradise Caffè,45.4872784,9.1614404,bar,,,,,
Time Out,45.4864124,9.1590177,cafe,,,,,
Riviera,45.4863254,9.1595877,bar,,,,,
Flash Bar,45.4825026,9.1667512,cafe,,,,,
Crazy Moon,45.5085673,9.1330956,bar,,,,,"Via Antonio Mambretti 24, 20157, Milano"
Happy Hour,45.5169878,9.1203497,bar,,,+39023567193,,"Via Giovanni Battista Grassi 67, 20157, Milano"
Mac 111,45.4974144,9.1528452,bar,,,,,
Bar Castelli,45.4991590,9.1504076,cafe,,,,,
Al 37,45.4871210,9.1620329,cafe,,,,,
Malt,45.4871573,9.1671499,pub,,,+390233602855,,"Via Cenisio 37, 20154, Milano"
Whisky Bar,45.4831171,9.1640946,pub,,,,,
Bar Mauri,45.4836238,9.1657835,bar,,,,,
Peter Pan Cafè,45.4995952,9.1492329,cafe,,,,,
Bar Boschetti,45.5122972,9.1275499,bar,,,,,
Frizzi & Lazzi,45.4455769,9.1783550,pub,sandwich,,+39028378228,Mo-Su 18:30-02:00,"Via Evangelista Torricelli 5, 20136, Milano"
Largo's caffe,45.4807579,9.2364606,pub,,,+39 02 8417 5116,"Tu-Fr 07:00-02:00; Sa 06:00-15:00, 19:00-02:00; Su 08:00-23:00",Via Valvassori Peroni 61
Bar Tiffany,45.4516696,9.1868555,cafe,,,,,
Giodocet,45.4508039,9.1901641,cafe,,,,,
Bar Bocconi,45.4507400,9.1906166,bar,,,,,
Lino's Coffe,45.4509808,9.1895706,cafe,,,,,
Venti 136,45.4515350,9.1874570,cafe,,,,,
Green Mill,45.4482032,9.1867801,cafe,,,,,
JJ's Corner,45.4811424,9.2352962,pub,,,+39 02 70600004,"Su-Th 17:30-01:00, Fr,Sa 17:30-02:00",
Gelateria Delice,45.4710468,9.2287397,cafe,,,,,
Barbarian's,45.4706960,9.2282944,pub,,,,,"Via Giovanni Briosi 9, 20133, Milano"
Bar One,45.4592793,9.1924013,bar,,,+390258304472,,"Via Pantano 19, 20122, Milano"
DrinKasi,45.4507082,9.1779486,pub,,https://drinkasi.webnode.it,,Mo-Su 18:00-02:00,"Via Ascanio Sforza 9, 20136"
La Belle Alliance,45.4462528,9.1792204,pub,snack;burger,https://www.labellealliance.it,+39 02 9924 6410,Su-Th 18:00-01:00; Fr-Sa 17:00-02:00,"Via Evangelista Torricelli 1, 20136, Milano"
Amore Sicilian Bakery,45.4716994,9.1670469,cafe,,,+39 02 84249579,,"Largo Quinto Alpini 7, 20123"
Bhangrabar,45.4762187,9.1713186,pub,indian,https://bhangrabar.it/,+39 02 34934469,"Mo-Su 18:00-02:00; Dec 24,25,31 off","Corso Sempione 1, 20145, Milano"
Deseo,45.4765344,9.1716956,bar,,https://www.deseomilano.com/,+39 02 315164,,"Piazza Sempione 8, 20145"
Jazz Cafè,45.4772869,9.1707285,bar,,https://www.jazzcafe.it/,+39 02 33604039,,"Corso Sempione 8, 20154, Milano"
Pils Pub,45.4773077,9.1746406,bar,,https://www.pilspub.com/,+39 02 34592858,,"Via Agostino Bertani 2, 20154, Milano"
Carpe Diem Bar,45.4772324,9.1745466,cafe,,,,,
Living,45.4763635,9.1731640,bar,,https://www.livingmilano.com/,,,"Piazza Sempione 2, 20154, Milano"
Pandemus,45.4777967,9.1740196,cafe,,,,,
Breezy Bar,45.5008453,9.1336806,cafe,,,,,
Globe,45.4717734,9.1442582,bar,,,,,
Granaio,45.4659229,9.1856596,cafe,,,+39 02 89092240,,"Via Dante 2n13, 20121, Milano"
Chocolat,45.4676673,9.1740861,cafe,ice_cream,https://www.chocolatmilano.it/,+39 02 48100597,,"Via Giovanni Boccaccio 9n03, 20123, Milano"
Vanilla,45.4901906,9.1508399,bar,,,,,"Viale Certosa 41, Milano"
La bottega del caffe' (Marinella),45.4575857,9.1730117,pub,,,+390249531425,,"Via Cesare da Sesto 14, 20123, Milano"
King's Pub,45.4513229,9.1776869,pub,,https://kingspub.it/,+39028361264,Mo-Fr 18:00-02:00; Sa 16:00-02:00; Su 12:00-02:00,"Alzaia Naviglio Pavese 8, 20143, Milano"
La Rocchetta Caffe Bistrot​,45.4675119,9.1765180,cafe,,https://www.larocchettacaffe.it/,+390278623287,,"Via Giosuè Carducci 2, 20123, Milano"
Teorema cafè,45.4535372,9.2147861,cafe,,,,,
Gran Caffè Bonnet,45.4827112,9.1850579,cafe,,,,,"Via privata Nino Bonnet 11a, 20154, Milano"
New Brand Cafè - Spritzeria - Bubble Tea,45.4768891,9.2252212,cafe,italian;bubble_tea,,+39 02 7063 3536,Mo-Fr 07:00-20:30; PH closed; Sa 17:00-21:00,"Via Giovanni Pascoli 55, 20133, Milano"
feelgood,45.4620731,9.2198300,bar,,,,,
Arcadia Caffe Self Service,45.4728226,9.1922018,cafe,,,,,"Via Fatebenefratelli 22, 20121, Milano"
Bar Valdagno,45.4608183,9.1117495,cafe,,,,,"Via delle Forze Armate 212, 20152, Milano"
Tabaccheria Amico Bar Alex,45.4639035,9.0924912,cafe,,,,,"Via Francesco Rismondo 56, 20153, Milano"
J & M bar,45.4604615,9.1170718,cafe,,,,,"Via delle Forze Armate 179, 20152, Milano"
Dada Bar,45.4613624,9.0903421,cafe,,https://www.facebook.com/dadabaggio/,,,"Via delle Forze Armate 410, 20152, Milano"
Da Carlo,45.4608288,9.0937235,cafe,,,,,
Bar Siena,45.4657404,9.1365998,cafe,,,,"Mo-Sa 06:30-20:30, Su 07:30-13:30","Piazzale Siena 2, 20146, Milano"
happy bar,45.4602383,9.1121259,cafe,,,,,
Cris Bar,45.4629009,9.0872921,cafe,,,,,
Famil Bar,45.4625096,9.0870024,cafe,,,,,
Bar Sorriso,45.4625474,9.1336860,cafe,,,,,
Bar Torrefazione,45.4626175,9.1333419,cafe,,,,,
Chicchi e Grappoli,45.4606751,9.0950499,cafe,,,,,
Bar Max,45.4649689,9.0913924,cafe,,,,,
My Coffee Bar,45.4609803,9.0942818,cafe,,,,,"Via Francesco Rismondo 2, 20152, Milano"
Small Café,45.4938763,9.1848747,cafe,,,+39 02 6687620,,"Via Carlo Farini 71, Milano"
Shatar Pub,45.4726581,9.1429735,pub,,http://www.shatarpub.com,+393662528078,,"Via Daniele Ricciarelli 8, 20148, Milano"
Good Fellas,45.4690024,9.1847868,cafe,,,,,
R113 Ripa's Drink,45.4485224,9.1604106,bar,,,,,"Ripa di Porta Ticinese 113, 20143, Milano"
Albatros,45.4859466,9.2298942,bar,,,,,
Caffè caviglia,45.4421086,9.2304175,cafe,,,,,
Nowhere,45.4560079,9.1817790,cafe,,https://nowherecoffeeroasters.com,,"Tu-Fr 08:30-16:00; Sa,Su 09:00-16:00; Mo off","Via Vetere 14, 20123, Milano"
Svapo web,45.5075977,9.2043976,cafe,,,,,
Bar Dolomiti,45.5025497,9.2244785,bar,,,,,"Via Policarpo Petrocchi 34, 20127, Milano"
Snoopy Bar 2,45.5033336,9.2241110,bar,,,,,"Via Dolomiti 11, 20127, Milano"
ToTap Bar,45.4604309,9.1574839,bar,,,,,
Caffè Milani,45.4783641,9.2028489,cafe,,,,,
Flute bar Milano,45.4916738,9.1887287,bar,,,,,
Lost in Town,45.4839367,9.1640319,bar,,http://www.lostintown-milano.com/,,,"Via Piero della Francesca 38, 20154, Milano"
Perché no?,45.5235523,9.2118257,bar,,,,,
Bar Dei Bossi,45.4677603,9.1870275,cafe,,,,,"Piazzetta Maurilio Bossi 4, Milano"
Bar 2,45.4507477,9.1970381,bar,,,,,
Bar Chicco,45.4434837,9.1390721,cafe,,,,,
Bar Bianco,45.4735526,9.1775313,bar,,https://www.barbiancomilano.com/,+39 02 8699 2026,Mo-Su 09:00-22:00,"Viale Ibsen 4, 20121, Milano"
Caffè Milano,45.4945545,9.2194549,cafe,,,,,
Cheese,45.4591129,9.1821683,bar,,,,,
20 - Twenty,45.4596949,9.1821790,bar,,,,,
La Hora Feliz,45.4594315,9.1828120,bar,,,,,Via San Vito 5
il Punto Dolce Salato,45.4858138,9.2375165,cafe,,,,Mo-Fr 06:00-19:00; Sa 07:00-18:30; Su 08:00-18:30,
New York Lounge,45.4864207,9.2014242,bar,,,,,
Bab-Al Yemen,45.4867231,9.2016010,bar,,,,,
Caffè Petrarca,45.4852293,9.1990612,cafe,,,,,"Via Gustavo Fara 28, 20124, Milano"
Carpe Diem,45.4358912,9.2402861,bar,,,,,
Nuova Milano,45.4380288,9.2436236,pub,,,+39 02 5162 1588,"Tu-Th 11:00-14:30,18:00-01:00, Fr 11:00-14:30,18:00-02:00, Sa 11:00-14:30,17:00-02:00, Su 11:00-14:30,17:00-01:00","Via Bruno Cassinari 25, 20138, Milano"
Caffè Mood,45.4369113,9.2418632,cafe,,,,,
Caffè Cinquecento,45.5151171,9.2130089,bar,,,,Mo-Su 07:00-24:00,
Pan cafè,45.5155043,9.2115605,bar,,,,Mo-Sa 06:30-21:00,"Viale Piero e Alberto Pirelli 14, 20126, Milano"
3D Bar,45.5199890,9.1689718,bar,,,,,
Astesani41,45.5198725,9.1695316,cafe,,,,,Via Alessandro Astesani 41
Non solo caffè,45.5201239,9.1706593,cafe,,,,,Via Vincenzo da Seregno
Petit bar,45.5207014,9.1709253,cafe,,,,,Via Vincenzo da Seregno
Malù Bar,45.4392043,9.2162831,cafe,,,,,
Bar Lisi,45.4387658,9.2161785,cafe,,,,,
Bar Tabacchi,45.4389314,9.2161303,cafe,,,,,
Bar William,45.4461760,9.1243435,bar,,,,,"Via Lorenteggio 238, 20147, Milano"
Art Factory,45.4856666,9.2107020,cafe,,http://www.hc-artfactory.it/,+39 02 6694578,,"Viale Andrea Doria 17, 20124, Milano"
Ciu's,45.4817660,9.2136004,bar,,,,,"Via Gaspare Spontini 6, 20131"
Taveggia,45.4633048,9.1990533,cafe,,,,Mo-Fr 07:00-20:30; Sa 08:00-20:30; Su 08:00-15:00,
Al Mio Bar,45.5286878,9.1631096,cafe,,,,,
Birreria Stella,45.4685247,9.2262905,pub,,,,,
Bar Basso,45.4767746,9.2175792,cafe,,http://www.barbasso.com/,+39 02 29400580,,"Via Plinio 39, 20129, Milano"
Bar dei Sogni,45.4779670,9.2232547,cafe,,,,,
Bar Sand,45.4696380,9.2299117,bar,,,,,Via Gaspare Aselli 7
La liberazione,45.4633974,9.2303916,bar,,,+39 02 83641757,"Mo-Fr 12:00-15:00, 18:00-01:00; Sa 18:00-01:00","Via Lomellina 14, 20133, Milano"
Bar Skuisito,45.4815406,9.2278238,cafe,,,+39 02 7063 8397,"Mo-Fr 12:00-15:00,19:00-23:00; Sa 19:00-24:00; Su off",
Beverly,45.4807246,9.2243456,cafe,,,,"Mo-Fr 06:00-22:00; Sa,Su 06:30-22:00",
Caffé Scaringi,45.4813601,9.2262137,cafe,,,,Th-Tu 07:00-20:00,
CITRIX,45.4819786,9.2297844,cafe,,,,,
Birrificio Lambrate,45.4796764,9.2344712,pub,burger;sandwich;sausage,http://birrificiolambrate.com,+39 02 8496 1890,"Mo-Fr 12:00-02:00, Sa 19:00-02:00; Su off","Via Camillo Golgi 60, 20133, Milano"
Harp Pub Guinness,45.4772546,9.2255218,pub,,https://harppubguinness.eatbu.com,+39 02 36686194,"Mo-Fr 11:00-24:00; Sa 00:00-01:00, 18:00-24:00; Su 00:00-01:00","Piazza Leonardo da Vinci 10, 20133, Milano"
Gran Galà,45.4708070,9.2299368,bar,,,+390270123848,Mo-Sa 07:00-24:00; Su 08:00-15:00,"Via Gaspare Aselli 25, 20133, Milano"
Bar 4 Strade,45.5112697,9.2152238,cafe,italian;sandwich,,,,"Via Bernardo Rucellai 50, 20126, Milano"
Caffè Carducci,45.4623963,9.1738321,cafe,,,+39028900440,Mo-Sa 06:30-20:00; Su off,"Via San Vittore 2, 20123, Milano"
Queen's Bar Tabacchi,45.4624886,9.1735413,cafe,,https://www.queensbartabacchi.com/,+390289013944,Mo-Sa 06:00-20:00,"Via Giosuè Carducci 36, 20123, Milano"
Settimio caffè e bistrot,45.4660172,9.1624720,cafe,,,,Mo-Fr 07:00-21:00; Sa 08:00-21:00; Su 09:00-21:00,"Largo Settimio Severo 1, 20144, Milano"
Tabaccheria family café,45.4551759,9.2125108,cafe,,,+39 02 54116397,,Via Comelico 11
Lo Sharman,45.4636865,9.1971216,cafe,,,+39 328 716 9702,,"Via Felice Cavallotti 17, 20122"
Bar Brera,45.4723487,9.1874481,cafe,,,+39 02 877091,,"Via Brera 23, 20121"
Jamaica,45.4725976,9.1875440,cafe,,,+39 02 876723,,Via Brera 32
O' Connell Country Pub,45.4696795,9.1879449,pub,burger;snack,https://www.oconnellirishpubmilanobrera.it,+39 02 72094888,"Mo-Fr 17:00-02:00, Sa-Su 12:00-02:00","Via Brera 3, 20121, Milano"
el BIRòCC,45.4691055,9.1881644,cafe,,,,,"Via Giuseppe Verdi 13, 20121, Milano"
La Cararina,45.4733193,9.2315944,bar,,,,,"Via Gaetano Strambio 6, 20133"
Cafè de Flore,45.4733193,9.2305899,bar,,,,,
La Statale Café,45.4755528,9.2341070,cafe,,,,Mo-Fr 07:30-16:00,
Toki Cafe,45.4825801,9.2297495,cafe,,,,,
New York Bar,45.4818073,9.2321779,cafe,,,,,
East End,45.4883457,9.2541880,pub,,,,,
Non Solo Caffé,45.4827558,9.2297642,cafe,,,,,Via Teodosio 3
Sugar,45.4499750,9.1673900,cafe,,,,,
Grano & Caffè,45.4765424,9.2115667,cafe,,,,,
Rita's Tikiroom,45.4504917,9.1695248,bar,,https://www.ritastikiroom.com/it/,+390283555017,Tu-Su 18:00-02:00; Mo off,"Ripa di Porta Ticinese 69, 20143, Milano"
Tempio Caffè,45.4733904,9.1951551,cafe,,,,,
Pasticceria Bastianello,45.4659463,9.1990518,cafe,,https://www.bastianello.com/,+39 02 76317065,,"Via Borgogna 5, 20122, Milano"
Bar Durante,45.4897478,9.2237285,cafe,,,,,
Cavallo,45.4874609,9.2200461,cafe,,,,,
Bœucc,45.4755690,9.1941954,cafe,,,+39 02 7602 2880,"Mo-Fr 11:00-15:00,18:00-22:00; Sa-Su off","Largo Guido Donegani 3, 20121, Milano"
Bar Leoncavallo,45.4903670,9.2247833,cafe,,,,,
Acquarius,45.4867171,9.1983187,cafe,,,,,
Mercurio,45.4868054,9.2185479,cafe,,,,,"Via Andrea Costa 3, 20131, Milano"
Top Down Nightclub,45.4616524,9.1909810,nightclub,,,,,
Mannini,45.4618904,9.1902001,cafe,,,,,
Actors' Studio Cafe,45.4655298,9.1761146,cafe,,https://it-it.facebook.com/actorstudiocafe/,+390236586357,Mo-Th 09:00-00:00; Fr 09:00-01:00; Sa 21:00-02:00; Su off,"Via Terraggio 11, 20123, Milano"
Traffic Lights,45.5000539,9.2210548,cafe,,,,,
Gran Bar Tunisia,45.4796918,9.1998148,cafe,,,+39 02 6555254,,"Viale Tunisia 41, 20124, Milano"
L'elisir,45.4826700,9.2352774,bar,,,,,
Blender,45.4686909,9.2235692,pub,,,+39 02 7490200,Mo-Su 16:00-02:00,Piazzale Susa 7
Brasserie Bruxelles,45.4787442,9.2167302,pub,burger;nachos;piadina,https://www.brasseriebruxelles.eu,,Mo-Su 17:00-02:00,"Viale Abruzzi 33, 20131, Milano"
Bar tabacchi Jackpot,45.4601325,9.0968349,cafe,,,,,"Via delle Forze Armate 395, 20152, Milano"
Bar Zurigo,45.4573809,9.1220797,cafe,,,,,"Via Angelo Inganni 103, 20147, Milano"
Fashion Café,45.4732625,9.1876764,cafe,,,,,"Piazza San Marco 1, Milano"
Radicana Caffè,45.4807597,9.2311465,bar,,,,,
PuntoGrill,45.4857021,9.2376118,cafe,,,,Mo-Fr 06:30-19:30,
Gran Caffè Visconteo,45.4640696,9.1884114,cafe,,,,,
Bar Duomo,45.4646084,9.1884203,cafe,,,,,"Piazza del Duomo 17, 20121, Milano"
La Belle Aurore,45.4719252,9.2145132,pub,,,,"Mo-Tu,Th 10:00-22:30; Fr-Sa 10:00-23:30; Su 10:00-22:00",
Bar Five,45.4847626,9.2301415,bar,,,,,
Bar Tavola Calda Lilly,45.4848721,9.2293464,cafe,,,,,
Carpe Diem,45.4849512,9.2080145,cafe,,,+39 02 6698 8353,,"Via Mauro Macchi 44, 20124, Milano"
Il Mago di Oz,45.4805943,9.2135529,cafe,,,,Mo-Su 06:00-13:00,
Il caffé del tabaccaio,45.4815675,9.2442286,cafe,,,,,
Gypsian Club,45.4793030,9.2469100,pub,,,,,"Piazza Vigili del Fuoco 7, 20134, Milano"
Bar Flaminio,45.4801331,9.2425863,cafe,,,,,
Il bancale,45.4805141,9.2341738,bar,,,,Mo-Fr 07:00-20:30; Sa 07:00-16:00,
Bar Pino,45.4826606,9.2421140,cafe,italian,,,Mo-Sa 09:00-19:30,
Chicco Caffè,45.4829537,9.2408275,cafe,,,,,
Lily,45.4829291,9.2412731,bar,,,,,
Speranza,45.4828082,9.2416557,cafe,,,,,
Hernest Café,45.4850744,9.2315908,pub,,,,,"Via Vallazze 107, 20131, Milano"
Acli,45.4817884,9.2425864,bar,,,,,
Caffé del borgo,45.4840639,9.2423960,cafe,,,,,
Marlé,45.4828095,9.2424900,cafe,regional,,,,
Dolci Storie,45.5009774,9.1667199,cafe,coffee_shop;ice_cream;italian,,+39 02 3006 6598,"Su, Tu-Th 07:00-22:30; Fr-Sa 07:00-23:00","Via degli Imbriani 47-51, 20158"
Solar Bar,45.4588929,9.1729422,cafe,,,,,"Via Ariberto 19, 20123, Milano"
Lab Milano,45.4639962,9.2071548,bar,,,,,"Viale Premuda 7, Milano"
Torrefazione,45.4550526,9.2158714,cafe,,,,,
Vanilla Gelati Italiani,45.4646083,9.1936225,cafe,ice_cream,https://www.vanilla-gelati-italiani.it/,,,Piazzetta Pattari 2
Bar della Crocetta,45.4564618,9.1953886,cafe,sandwich,,,,"Largo della Crocetta 1, 20122, Milano"
Epoca Tango,45.4421048,9.1411402,nightclub,,,,,"Via privata Parenzo 7, 20143, Milano"
Nuovo Millenio,45.4490502,9.2060582,cafe,,,,,
Caffè Puro,45.4469857,9.2045027,cafe,,,,,
JustCafé,45.4819393,9.2278879,pub,,,,,
Disciplini Café e Tabacchi,45.4586416,9.1846777,cafe,,,,,
Dream's Bar,45.5077170,9.2033775,cafe,,,,Mo-Su 06:00-22:30,"Via Salvatore Pianell 45, 20125, Milano"
Rocket,45.4389004,9.1831120,nightclub,,,,,Via Giovanni Pezzotti 52
Spiller,45.4911256,9.1859892,pub,,https://spillerbirrerie.it,,,
Bar Lucia,45.5138687,9.1735052,cafe,,,,,
Mama's,45.4419613,9.1211758,bar,,,,Mo-Fr 07:00-17:00; Sa 08:00-14:30,"Via Francesco Gonin 56, 20147, Milano"
Isola Della Birra,45.4897114,9.1853194,pub,,https://www.isoladellabirra.com/,,,"Via Medardo Rosso 18, 20159, Milano"
One Love Bar,45.4763130,9.2058479,cafe,,,,,
