source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names
mycia,58c9dd5c417c,Caffè Carlino,https://www.mycia.it/menu/milano/caffe-carlino-XoNG8q0Jd,"Via Giuseppe Mazzini, 20123 Milano MI, Italia",Milano,45.4627331,9.1885167,"Bar, Bistrot",€€,,,,,Lunedì 06:30 - 20:00 | Martedì 06:30 - 20:00 | Mercoledì 06:30 - 20:00 | Giovedì 06:30 - 20:00 | Venerdì 06:30 - 20:00 | Sabato 07:30 - 20:00 | Domenica 07:30 - 20:00,True,https://www.mycia.it/menu/milano/caffe-carlino-XoNG8q0Jd,no_price,2026-05-30T17:21:38.360841+00:00,bistro,TARGET,False,existing,Caffè Carlino
mycia,f845b1553e33,Canaletto Bistrot,https://www.mycia.it/menu/milano/canaletto-bistrot-N7FdgyzR5,"Alzaia Naviglio Grande, 46, Milano, MI, Italia",Milano,45.4517923,9.1714348,Bistrot,€€,,,,,Lunedì 09:00 - 15:00 / 17:00 - 23:00 | Martedì 09:00 - 15:00 / 17:00 - 23:00 | Mercoledì 09:00 - 15:00 / 17:00 - 23:00 | Giovedì 09:00 - 15:00 / 17:00 - 23:00 | Venerdì 09:00 - 15:00 / 17:00 - 23:00 | Sabato 09:00 - 15:00 / 17:00 - 23:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/canaletto-bistrot-N7FdgyzR5,no_price,2026-05-30T17:21:49.167085+00:00,bistro,TARGET,False,existing,Canaletto Bistrot
mycia,c1fa99a008bc,Chiù Bistrot e Bottega,https://www.mycia.it/menu/milano/chi-ugrave-bistrot-e-bottega-COhZqzs6l,"Via Vincenzo Monti, 32, 20123 Milano MI, Italy",Milano,45.468935,9.17207,,€€,,,,,,False,https://www.mycia.it/menu/milano/chi-ugrave-bistrot-e-bottega-COhZqzs6l,no_price,2026-05-30T17:22:15.441505+00:00,bistro,TARGET,False,existing,Chiù Bistrot e Bottega
mycia,6355477694f5,Dedans Café&Bistrot,https://www.mycia.it/menu/milano/dedans-cafe-bistrot-FliWxmLNF,"Piazza Riccardo Wagner, 3, Milano, MI, Italia",Milano,45.4677717,9.1567343,"Bar, Bistrot, Cafè",€€,,,,,Lunedì 07:30 - 16:00 | Martedì 07:30 - 22:00 | Mercoledì 07:30 - 22:00 | Giovedì 07:30 - 22:00 | Venerdì 07:30 - 22:00 | Sabato 07:30 - 22:00 | Domenica 09:00 - 21:00,True,https://www.mycia.it/menu/milano/dedans-cafe-bistrot-FliWxmLNF,no_price,2026-05-30T17:23:07.956257+00:00,bistro,TARGET,False,existing,Dedans Café&Bistrot
direct_website,fbe53b04b069,Dolcevita Bistrot,https://dolcevitabistrot.it/,Via Alserio 28 20159,Milano,45.4904079,9.1880093,,,,,+39 02 39525210,https://dolcevitabistrot.it/,Tu-Su 07:00-23:00; Mo 07:00-18:00,True,https://dolcevitabistrot.it/,no_price,2026-05-30T22:25:39Z,bistro,TARGET,False,existing,Dolcevita Bistrot
mycia,63e4387d1d86,Estilo Livre,https://www.mycia.it/menu/milano/estilo-livre-Gs1yT8yar,"Via Lecco, 22, 20124 Milano, Milano MI, Italia",Milano,45.4785924,9.2059872,Bistrot,€€,,,,,Lunedì 12:00 - 14:30 / 18:00 - 00:00 | Martedì 12:00 - 14:30 / 18:00 - 23:30 | Mercoledì 12:00 - 14:30 / 18:00 - 23:30 | Giovedì 12:00 - 14:30 / 18:00 - 23:30 | Venerdì 12:00 - 14:30 / 18:00 - 23:30 | Sabato 12:00 - 14:30 / 18:00 - 23:30 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/estilo-livre-Gs1yT8yar,no_price,2026-05-30T17:23:45.204901+00:00,bistro,TARGET,False,existing,Estilo Livre
mycia,363822e46e34,FUN Food United Nations,https://www.mycia.it/menu/milano/fun-food-united-nations-vPQjqVPuD,"Corso di Porta Romana, 85, 20122 Milano, MI, Italia",Milano,45.4555212,9.1969396,"Bistrot, Ristorante",€,,,,,Lunedì 00:00 - 00:00 / 12:00 - 15:00 | Martedì 12:00 - 15:00 / 19:00 - 22:00 | Mercoledì 12:00 - 15:00 / 19:00 - 22:00 | Giovedì 12:00 - 15:00 / 19:00 - 22:00 | Venerdì 12:00 - 15:00 / 19:00 - 23:00 | Sabato 12:00 - 15:00 / 19:00 - 23:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/fun-food-united-nations-vPQjqVPuD,no_price,2026-05-30T17:24:23.805907+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,FUN Food United Nations
mycia,fb6d7dae9c1e,Hug Milano,https://www.mycia.it/menu/milano/hug-milano-wKwgwpCwk,"Via Giulio e Corrado Venini, Milano, MI, Italia",Milano,45.4903746,9.215057,Bistrot,€€,,,+39 389 8485296,https://hugmilano.com/,Lunedì Chiuso | Martedì Chiuso | Mercoledì 12:00 - 00:30 | Giovedì 12:00 - 00:30 | Venerdì 12:00 - 00:30 | Sabato 12:00 - 00:30 | Domenica 12:30 - 23:30,False,https://www.mycia.it/menu/milano/hug-milano-wKwgwpCwk,no_price,2026-05-30T17:25:15.041264+00:00,bistro,TARGET,False,existing,Hug Milano | HUG Milano
mycia,1d2336732ea6,inChiostro Bistrot,https://www.mycia.it/menu/milano/inchiostro-bistrot-Uw1OijOlR,"Corso di Porta Ticinese, 95, 20123 Milano MI, Italy",Milano,45.4549688,9.1813255,,€€,,,,,,False,https://www.mycia.it/menu/milano/inchiostro-bistrot-Uw1OijOlR,no_price,2026-05-30T17:25:49.060234+00:00,bistro,TARGET,False,existing,inChiostro Bistrot
direct_website,eee66b107d44,Incipit23 Bistrot Letterario,https://bistrot.incipit23.it/,Via Casoretto 42,Milano,45.488913,9.2293324,bar,,,,+393783029659,https://bistrot.incipit23.it/,,False,https://bistrot.incipit23.it/,no_price,2026-05-30T20:43:55.019300+00:00,bistro,TARGET,False,existing,Incipit23 Bistrot Letterario
mycia,e4113d91307a,jolly bar,https://www.mycia.it/menu/milano/jolly-bar-GiDOrQQWq,"Via Milano, Milano, MI, Italia",Milano,45.432506,9.2663957,Bistrot,€,,,,,Lunedì 07:00 - 21:00 | Martedì 07:00 - 21:00 | Mercoledì 07:00 - 21:00 | Giovedì 07:00 - 21:00 | Venerdì 07:00 - 21:00 | Sabato 07:00 - 21:00 | Domenica 07:00 - 21:00,False,https://www.mycia.it/menu/milano/jolly-bar-GiDOrQQWq,no_price,2026-05-30T17:26:04.494131+00:00,bistro,TARGET,False,existing,jolly bar
mycia,27ba137c00ea,L'immagine,https://www.mycia.it/menu/milano/l-immagine-H6ykqaACt,"Via Varesina, 61, Milano, MI, Italia",Milano,45.4972859,9.1455392,"Bistrot, Ristorante",€€€,,,,,Lunedì 19:00 - 00:00 | Martedì 19:00 - 00:00 | Mercoledì 19:00 - 00:00 | Giovedì 19:00 - 00:00 | Venerdì 19:00 - 00:00 | Sabato 19:00 - 00:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/l-immagine-H6ykqaACt,no_price,2026-05-30T17:26:26.102801+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,L'immagine
direct_website,2e0cb030349f,La Rocchetta Caffe Bistrot,https://www.larocchettacaffe.it/,Via Giosuè Carducci 2 20123,Milano,45.4675119,9.176518,,,,,390278623287,https://www.larocchettacaffe.it/,,True,https://www.larocchettacaffe.it/,no_price,2026-05-30T22:25:39Z,bistro,TARGET,False,existing,La Rocchetta Caffe Bistrot | La Rocchetta
mycia,2b8d94f8d502,Le Jardin Bistrot,https://www.mycia.it/menu/milano/le-jardin-bistrot-edRobiwLn,"Via San Maurilio, 1, Milano, MI, Italia",Milano,45.4614957,9.1851433,Bistrot,€,,,,,Lunedì 07:30 - 19:30 | Martedì 07:30 - 19:30 | Mercoledì 07:30 - 19:30 | Giovedì 07:30 - 19:30 | Venerdì 07:30 - 19:30 | Sabato 07:30 - 19:30 | Domenica 07:30 - 19:30,False,https://www.mycia.it/menu/milano/le-jardin-bistrot-edRobiwLn,no_price,2026-05-30T17:27:29.347311+00:00,bistro,TARGET,False,existing,Le Jardin Bistrot
mycia,d771eccb001f,Lela bistrot,https://www.mycia.it/menu/milano/lela-bistrot-Q82LeYL4G,"Corso di Porta Ticinese, 100, Milano, MI, Italia",Milano,45.4535488,9.1802529,Ristorante,€,,,,,Lunedì 07:30 - 22:00 | Martedì 07:30 - 22:00 | Mercoledì 07:30 - 22:00 | Giovedì 07:30 - 22:00 | Venerdì 07:30 - 22:00 | Sabato 07:30 - 22:00 | Domenica 07:30 - 22:00,False,https://www.mycia.it/menu/milano/lela-bistrot-Q82LeYL4G,no_price,2026-05-30T17:27:33.974207+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,Lela bistrot
menudigitale,0d92f9c3de57,Mamalu Bistrot,https://www.menudigitale.io/dbdvd/?lang=it,"Mamalu, Via Pisana 554, Angolo via degli Stagnacci | Scandicci |",Milano,45.464200,9.190000,,,,,,,,True,https://www.menudigitale.io/dbdvd/?lang=it,no_price,2026-05-31T09:40:59Z,bistro,TARGET,False,fallback,Mamalu Bistrot
mycia,923a030ec57e,Mater Bistrot,https://www.mycia.it/menu/milano/mater-bistrot-OEpnYI8s1,"Via Pasquale Sottocorno, 1, 20129 Milano, Italia",Milano,45.4654998,9.207658,Bistrot,€€,,,,,Lunedì 18:30 - 00:00 | Martedì 12:30 - 15:00 / 18:30 - 00:00 | Mercoledì 12:30 - 15:00 / 18:30 - 00:00 | Giovedì 12:30 - 15:00 / 18:30 - 00:00 | Venerdì 12:30 - 15:00 / 18:30 - 00:00 | Sabato 12:30 - 15:00 / 18:30 - 00:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/mater-bistrot-OEpnYI8s1,no_price,2026-05-30T17:28:23.327930+00:00,bistro,TARGET,False,existing,Mater Bistrot
mycia,33216798dd43,Mavi Food,https://www.mycia.it/menu/milano/mavi-food-qy9Puz2fq,"Via Terraggio, 9, Milano, MI, Italia",Milano,45.4654917,9.1763149,"Bar, Bistrot, Cafè",€,,,,,Lunedì 09:30 - 21:30 | Martedì 09:30 - 21:30 | Mercoledì 09:30 - 21:30 | Giovedì 09:30 - 21:30 | Venerdì 09:30 - 21:30 | Sabato Chiuso | Domenica Chiuso,True,https://www.mycia.it/menu/milano/mavi-food-qy9Puz2fq,no_price,2026-05-30T17:28:26.413217+00:00,bistro,TARGET,False,existing,Mavi Food
mycia,ce1bd93f1cbf,Mediterranea - Citylife,https://www.mycia.it/menu/milano/mediterranea-citylife-a5Osii5xp,"Piazza Tre Torri, 1, Milano, MI, Italia",Milano,45.4779298,9.1552879,Bistrot,€€,,,,,Lunedì 09:00 - 22:00 | Martedì 09:00 - 22:00 | Mercoledì 09:00 - 22:00 | Giovedì 09:00 - 22:00 | Venerdì 09:00 - 22:00 | Sabato 09:00 - 22:00 | Domenica 09:00 - 22:00,False,https://www.mycia.it/menu/milano/mediterranea-citylife-a5Osii5xp,no_price,2026-05-30T17:28:29.514752+00:00,bistro,TARGET,False,existing,Mediterranea - Citylife
mycia,4a63637b16b4,Mediterranea - Santa Marta,https://www.mycia.it/menu/milano/mediterranea-santa-marta-BuTvMrioK,"Via Santa Marta, 6, Milano, MI, Italia",Milano,45.4629163,9.1835725,Bistrot,€€,,,,,Lunedì 08:30 - 22:30 | Martedì 08:30 - 22:30 | Mercoledì 08:30 - 22:30 | Giovedì 08:30 - 22:30 | Venerdì 08:30 - 22:30 | Sabato 08:30 - 22:30 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/mediterranea-santa-marta-BuTvMrioK,no_price,2026-05-30T17:28:31.056903+00:00,bistro,TARGET,False,existing,Mediterranea - Santa Marta
thefork,283ae666b550,Panigacci Milano Bistrot,https://www.thefork.it/ristorante/panigacci-milano-bistrot-r542939?show=menu,"Via Bezzecca, 2",Milano,45.460880,9.213866,,,,,,https://www.thefork.it/ristorante/panigacci-milano-bistrot-r542939,,True,https://www.thefork.it/ristorante/panigacci-milano-bistrot-r542939?show=menu,no_price,2026-06-01T15:12:32Z,bistro,TARGET,False,precise,Panigacci Milano Bistrot
mycia,a2dfb9c63326,Rosticceria Giacomo,https://www.mycia.it/menu/milano/rosticceria-giacomo-SlOY5ZMYd,"Via Pasquale Sottocorno, 36, 20129 Milano, MI, Italia",Milano,45.4657161,9.2097949,Bistrot,€,,,,,Lunedì 12:30 - 14:30 / 19:30 - 23:30 | Martedì 12:30 - 14:30 / 19:30 - 23:30 | Mercoledì 12:30 - 14:30 / 19:30 - 23:30 | Giovedì 12:30 - 14:30 / 19:30 - 23:30 | Venerdì 12:30 - 14:30 / 19:30 - 23:30 | Sabato 12:30 - 14:30 / 19:30 - 23:30 | Domenica 12:30 - 14:30 / 19:30 - 23:30,False,https://www.mycia.it/menu/milano/rosticceria-giacomo-SlOY5ZMYd,no_price,2026-05-30T17:32:40.362302+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,Rosticceria Giacomo
mycia,d8e45e1188ca,Sakeya,https://www.mycia.it/menu/milano/sakeya-gcLUVYXmx,"Via Cesare da Sesto, 1, Milano, MI, Italia",Milano,45.456846,9.1738406,"Bistrot, Sushi",€€€€,,,,,Lunedì 19:00 - 01:00 | Martedì 19:00 - 01:00 | Mercoledì 19:00 - 01:00 | Giovedì 19:00 - 01:00 | Venerdì 19:00 - 01:00 | Sabato 19:00 - 01:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/sakeya-gcLUVYXmx,no_price,2026-05-30T17:32:48.054942+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,Sakeya
mycia,639c832defdc,Say Cheese Bistrot,https://www.mycia.it/menu/milano/say-cheese-bistrot-pWQsEtl8A,"Luisa, Via Luisa Battistotti Sassi, 12, 20133 Milano, Milano MI, Italia",Milano,45.463649,9.2281386,"Bistrot, Ristorante",€€,,,,,Lunedì 12:30 - 14:30 / 18:30 - 22:30 | Martedì 12:30 - 14:30 / 18:30 - 22:30 | Mercoledì 12:30 - 14:30 / 18:30 - 22:30 | Giovedì 12:30 - 14:30 / 18:30 - 22:30 | Venerdì 12:30 - 14:30 / 18:30 - 23:00 | Sabato 18:30 - 23:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/say-cheese-bistrot-pWQsEtl8A,no_price,2026-05-30T17:33:05.012462+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,Say Cheese Bistrot
thefork,41fc263a511e,Sidhe Milano Bistrot Culturale,https://www.thefork.it/ristorante/sidhe-milano-bistrot-culturale-r816682/menu,"Via Cusago, 20153, Milano",Milano,45.460605,9.079992,,,,,,https://www.thefork.it/ristorante/sidhe-milano-bistrot-culturale-r816682,,True,https://www.thefork.it/ristorante/sidhe-milano-bistrot-culturale-r816682/menu,no_price,2026-06-01T15:12:32Z,bistro,TARGET,False,web_addr,Sidhe Milano Bistrot Culturale
mycia,57590d88f42f,Sifà Bistrot,https://www.mycia.it/menu/milano/sifa-bistrot-6Yym4dBQK,"Via Lodovico Il Moro, 1, 20143 Milano, MI, Italia",Milano,45.447585,9.155748,Bistrot,€€,,,,,Lunedì 18:00 - 23:45 | Martedì 18:00 - 23:45 | Mercoledì 18:00 - 23:45 | Giovedì 18:00 - 23:45 | Venerdì 18:00 - 23:45 | Sabato 18:00 - 23:45 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/sifa-bistrot-6Yym4dBQK,no_price,2026-05-30T17:33:09.636636+00:00,bistro,TARGET,False,existing,Sifà Bistrot
mycia,2a7e9b9d6d80,Soulgreen,https://www.mycia.it/menu/milano/soulgreen-ZMZNfnJcw,"Piazzale Principessa Clotilde, 20124 Milano MI, Italia",Milano,45.4796749,9.1928815,Bistrot,€€,,,,,Lunedì 12:00 - 15:00 / 18:00 - 23:00 | Martedì 12:00 - 15:00 / 18:00 - 23:00 | Mercoledì 12:00 - 15:00 / 18:00 - 23:00 | Giovedì 12:00 - 15:00 / 18:00 - 23:00 | Venerdì 12:00 - 15:00 / 18:00 - 23:00 | Sabato 12:00 - 23:00 | Domenica 12:00 - 23:00,False,https://www.mycia.it/menu/milano/soulgreen-ZMZNfnJcw,no_price,2026-05-30T17:33:17.404549+00:00,bistro,TARGET,False,existing,Soulgreen
mycia,6b96ceebbca0,South Garage Bistrot,https://www.mycia.it/menu/milano/south-garage-bistrot-aKaIqZpg8,"Via Privata Eugenio Brizi, 2, 20139 Milano, MI, Italia",Milano,45.438107,9.2290821,"Bistrot, Ristorante",€€,,,,,Lunedì Chiuso | Martedì 11:00 - 15:00 / 18:00 - 23:45 | Mercoledì 11:00 - 15:00 / 18:00 - 23:45 | Giovedì 11:00 - 15:00 / 18:00 - 23:45 | Venerdì 11:00 - 15:00 / 18:00 - 23:45 | Sabato 11:00 - 15:00 / 18:00 - 23:45 | Domenica 11:00 - 15:00,False,https://www.mycia.it/menu/milano/south-garage-bistrot-aKaIqZpg8,no_price,2026-05-30T17:33:18.948035+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,South Garage Bistrot
mycia,1918682e42e9,Stravagario Bistrot,https://www.mycia.it/menu/milano/stravagario-bistrot-UkpTV5EQq,"Via Garigliano, 3, 20159 Milano, Milano MI, Italia",Milano,45.4883586,9.1895548,Ristorante,€€€,,,,,Lunedì 12:00 - 14:30 / 19:00 - 23:30 | Martedì 12:00 - 14:30 / 19:00 - 23:30 | Mercoledì 12:00 - 14:30 / 19:00 - 23:30 | Giovedì 12:00 - 14:30 / 19:00 - 23:30 | Venerdì 12:00 - 15:00 / 19:00 - 23:45 | Sabato 19:00 - 23:45 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/stravagario-bistrot-UkpTV5EQq,no_price,2026-05-30T17:33:26.663423+00:00,bistro,AMBIGUOUS_TO_REVIEW,False,existing,Stravagario Bistrot
mycia,8e7bd852f3bc,Tel Chi,https://www.mycia.it/menu/milano/tel-chi-ac5c29fa9,"Via Silio Italico, 1, 20135 Milano MI, Italia",Milano,45.4557769,9.2102002,Bistrot,€€,,,,,Lunedì 08:00 - 15:00 / 19:00 - 23:00 | Martedì 08:00 - 15:00 / 19:00 - 23:00 | Mercoledì 08:00 - 15:00 / 19:00 - 23:00 | Giovedì 08:00 - 15:00 / 19:00 - 23:00 | Venerdì 08:00 - 15:00 / 19:00 - 23:00 | Sabato 11:00 - 16:00 / 19:00 - 23:00 | Domenica 11:00 - 16:00,False,https://www.mycia.it/menu/milano/tel-chi-ac5c29fa9,no_price,2026-05-30T17:33:45.194473+00:00,bistro,TARGET,False,existing,Tel Chi
mycia,feb0d9760d47,The Best Bistrot,https://www.mycia.it/menu/milano/the-best-bistrot-nLRNThYFY,"Via Alserio, 19, 20159 Milano, Milano MI, Italia",Milano,45.4908165,9.1872846,Bistrot,€€,,,,,Lunedì 07:00 - 01:00 | Martedì 07:00 - 02:00 | Mercoledì 07:00 - 02:00 | Giovedì 07:00 - 03:00 | Venerdì 07:00 - 03:00 | Sabato 09:00 - 03:00 | Domenica Chiuso,False,https://www.mycia.it/menu/milano/the-best-bistrot-nLRNThYFY,no_price,2026-05-30T17:34:06.824000+00:00,bistro,TARGET,False,existing,The Best Bistrot
